,Argentina,Brazil,Chile,China,Colombia,Egypt,Greece,India,Korea,Malaysia,Mexico,Pakistan,Peru,Philippines,Poland,Qatar,Russia,Saudi Arabia,South Africa,Taiwan,Thailand,Turkey,United Arab Emirates
1996-03-19,,,,,,,,,,19.091402,6.3107440000000015,,,,,,,,,,,,
1996-03-20,,,,,,,,,,19.091402,6.500826,,,,,,,,,,,,
1996-03-21,,,,,,,,,,19.091402,6.462811,,,,,,,,,,,,
1996-03-22,,,,,,,,,,19.441698,6.538844,,,,,,,,,,,,
1996-03-25,,,,,,,,,,19.616854,6.538844,,,,,,,,,,,,
1996-03-26,,,,,,,,,,19.441698,6.576861,,,,,,,,,,,,
1996-03-27,,,,,,,,,,19.26655,6.424792,,,,,,,,,,,,
1996-03-28,,,,,,,,,,19.26655,6.500826,,,,,,,,,,,,
1996-03-29,,,,,,,,,,19.35413,6.462811,,,,,,,,,,,,
1996-04-01,,,,,,,,,,19.441698,6.652893,,,,,,,,,,,,
1996-04-02,,,,,,,,,,19.441698,6.576861,,,,,,,,,,,,
1996-04-03,,,,,,,,,,19.616854,6.614876,,,,,,,,,,,,
1996-04-04,,,,,,,,,,19.616854,6.614876,,,,,,,,,,,,
1996-04-08,,,,,,,,,,19.26655,6.462811,,,,,,,,,,,,
1996-04-09,,,,,,,,,,19.441698,6.462811,,,,,,,,,,,,
1996-04-10,,,,,,,,,,19.091402,6.538844,,,,,,,,,,,,
1996-04-11,,,,,,,,,,19.091402,6.424792,,,,,,,,,,,,
1996-04-12,,,,,,,,,,19.26655,6.804958999999998,,,,,,,,,,,,
1996-04-15,,,,,,,,,,19.616854,6.919009,,,,,,,,,,,,
1996-04-16,,,,,,,,,,19.616854,6.880991000000002,,,,,,,,,,,,
1996-04-17,,,,,,,,,,19.616854,7.071075,,,,,,,,,,,,
1996-04-18,,,,,,,,,,19.616854,7.223141,,,,,,,,,,,,
1996-04-19,,,,,,,,,,19.87958,7.337188999999999,,,,,,,,,,,,
1996-04-22,,,,,,,,,,19.96715,7.299174000000002,,,,,,,,,,,,
1996-04-23,,,,,,,,,,20.054718,7.223141,,,,,,,,,,,,
1996-04-24,,,,,,,,,,19.96715,7.185124000000001,,,,,,,,,,,,
1996-04-25,,,,,,,,,,19.616854,7.109091,,,,,,,,,,,,
1996-04-26,,,,,,,,,,19.96715,7.147107000000001,,,,,,,,,,,,
1996-04-29,,,,,,,,,,19.96715,6.995042,,,,,,,,,,,,
1996-04-30,,,,,,,,,,20.229879,7.0330580000000005,,,,,,,,,,,,
1996-05-01,,,,,,,,,,20.405024,7.071075,,,,,,,,,,,,
1996-05-02,,,,,,,,,,20.1423,6.842974000000001,,,,,,,,,,,,
1996-05-03,,,,,,,,,,20.1423,6.880991000000002,,,,,,,,,,,,
1996-05-06,,,,,,,,,,19.87958,6.690909,,,,,,,,,,,,
1996-05-07,,,,,,,,,,19.87958,6.7669440000000005,,,,,,,,,,,,
1996-05-08,,,,,,,,,,19.87958,6.957027,,,,,,,,,,,,
1996-05-09,,,,,,,,,,20.229879,7.0330580000000005,,,,,,,,,,,,
1996-05-10,,,,,,,,,,20.054718,7.071075,,,,,,,,,,,,
1996-05-13,,,,,,,,,,20.1423,7.109091,,,,,,,,,,,,
1996-05-14,,,,,,,,,,20.1423,7.147107000000001,,,,,,,,,,,,
1996-05-15,,,,,,,,,,20.1423,7.147107000000001,,,,,,,,,,,,
1996-05-16,,,,,,,,,,20.1423,7.109091,,,,,,,,,,,,
1996-05-17,,,,,,,,,,20.229879,7.185124000000001,,,,,,,,,,,,
1996-05-20,,,,,,,,,,20.1423,7.261156,,,,,,,,,,,,
1996-05-21,,,,,,,,,,20.054718,7.375209,,,,,,,,,,,,
1996-05-22,,,,,,,,,,19.87958,7.337188999999999,,,,,,,,,,,,
1996-05-23,,,,,,,,,,19.704428,7.337188999999999,,,,,,,,,,,,
1996-05-24,,,,,,,,,,19.87958,7.299174000000002,,,,,,,,,,,,
1996-05-28,,,,,,,,,,19.616854,7.337188999999999,,,,,,,,,,,,
1996-05-29,,,,,,,,,,19.616854,7.261156,,,,,,,,,,,,
1996-05-30,,,,,,,,,,19.792004,7.185124000000001,,,,,,,,,,,,
1996-05-31,,,,,,,,,,19.792004,7.071075,,,,,,,,,,,,
1996-06-03,,,,,,,,,,19.441698,7.109091,,,,,,,,,,,,
1996-06-04,,,,,,,,,,19.441698,7.223141,,,,,,,,,,,,
1996-06-05,,,,,,,,,,19.441698,7.185124000000001,,,,,,,,,,,,
1996-06-06,,,,,,,,,,19.441698,7.223141,,,,,,,,,,,,
1996-06-07,,,,,,,,,,19.441698,7.071075,,,,,,,,,,,,
1996-06-10,,,,,,,,,,19.529274,7.071075,,,,,,,,,,,,
1996-06-11,,,,,,,,,,19.26655,7.071075,,,,,,,,,,,,
1996-06-12,,,,,,,,,,19.26655,6.995042,,,,,,,,,,,,
1996-06-13,,,,,,,,,,19.091402,6.995042,,,,,,,,,,,,
1996-06-14,,,,,,,,,,19.441698,6.957027,,,,,,,,,,,,
1996-06-17,,,,,,,,,,19.529274,6.957027,,,,,,,,,,,,
1996-06-18,,,,,,,,,,19.616854,7.0330580000000005,,,,,,,,,,,,
1996-06-19,,,,,,,,,,20.054718,7.109091,,,,,,,,,,,,
1996-06-20,,,,,,,,,,19.96715,7.071075,,,,,,,,,,,,
1996-06-21,,,,,,,,,,19.792004,6.995042,,,,,,,,,,,,
1996-06-24,,,,,,,,,,20.054718,6.7669440000000005,,,,,,,,,,,,
1996-06-25,,,,,,,,,,20.054718,6.919009,,,,,,,,,,,,
1996-06-26,,,,,,,,,,19.616854,6.880991000000002,,,,,,,,,,,,
1996-06-27,,,,,,,,,,19.792004,7.109091,,,,,,,,,,,,
1996-06-28,,,,,,,,,,19.96715,7.071075,,,,,,,,,,,,
1996-07-01,,,,,,,,,,19.87958,6.919009,,,,,,,,,,,,
1996-07-02,,,,,,,,,,19.96715,6.957027,,,,,,,,,,,,
1996-07-03,,,,,,,,,,19.96715,6.919009,,,,,,,,,,,,
1996-07-05,,,,,,,,,,19.792004,6.690909,,,,,,,,,,,,
1996-07-08,,,,,,,,,,19.704428,6.538844,,,,,,,,,,,,
1996-07-09,,,,,,,,,,19.792004,6.614876,,,,,,,,,,,,
1996-07-10,,,,,,,,,,19.87958,6.690909,,,,,,,,,,,,
1996-07-11,,,,,,,,,,19.616854,6.462811,,,,,,,,,,,,
1996-07-12,,,,,,,,,,19.792004,6.614876,,,,,,,,,,,,
1996-07-15,,,,,,,,,,19.441698,6.272727,,,,,,,,,,,,
1996-07-16,,,,,,,,,,18.565948,6.158679,,,,,,,,,,,,
1996-07-17,,,,,,,,,,19.441698,6.462811,,,,,,,,,,,,
1996-07-18,,,,,,,,,,19.96715,6.614876,,,,,,,,,,,,
1996-07-19,,,,,,,,,,19.792004,6.614876,,,,,,,,,,,,
1996-07-22,,,,,,,,,,19.26655,6.500826,,,,,,,,,,,,
1996-07-23,,,,,,,,,,19.441698,6.462811,,,,,,,,,,,,
1996-07-24,,,,,,,,,,19.441698,6.386778,,,,,,,,,,,,
1996-07-25,,,,,,,,,,19.26655,6.500826,,,,,,,,,,,,
1996-07-26,,,,,,,,,,19.26655,6.386778,,,,,,,,,,,,
1996-07-29,,,,,,,,,,18.741096,6.348762000000002,,,,,,,,,,,,
1996-07-30,,,,,,,,,,18.565948,6.424792,,,,,,,,,,,,
1996-07-31,,,,,,,,,,18.565948,6.386778,,,,,,,,,,,,
1996-08-01,,,,,,,,,,18.828674,6.690909,,,,,,,,,,,,
1996-08-02,,,,,,,,,,18.916241,6.919009,,,,,,,,,,,,
1996-08-05,,,,,,,,,,19.178976,6.880991000000002,,,,,,,,,,,,
1996-08-06,,,,,,,,,,18.916241,6.880991000000002,,,,,,,,,,,,
1996-08-07,,,,,,,,,,18.916241,6.919009,,,,,,,,,,,,
1996-08-08,,,,,,,,,,19.091402,6.880991000000002,,,,,,,,,,,,
1996-08-09,,,,,,,,,,18.741096,6.880991000000002,,,,,,,,,,,,
1996-08-12,,,,,,,,,,19.091402,6.995042,,,,,,,,,,,,
1996-08-13,,,,,,,,,,19.26655,7.0330580000000005,,,,,,,,,,,,
1996-08-14,,,,,,,,,,19.441698,6.995042,,,,,,,,,,,,
1996-08-15,,,,,,,,,,19.26655,7.185124000000001,,,,,,,,,,,,
1996-08-16,,,,,,,,,,19.616854,7.261156,,,,,,,,,,,,
1996-08-19,,,,,,,,,,19.26655,7.337188999999999,,,,,,,,,,,,
1996-08-20,,,,,,,,,,19.441698,7.299174000000002,,,,,,,,,,,,
1996-08-21,,,,,,,,,,19.616854,7.413224,,,,,,,,,,,,
1996-08-22,,,,,,,,,,19.441698,7.413224,,,,,,,,,,,,
1996-08-23,,,,,,,,,,19.441698,7.299174000000002,,,,,,,,,,,,
1996-08-26,,,,,,,,,,19.626755,7.384438999999999,,,,,,,,,,,,
