Date,Open,High,Low,Close,Adj Close,Volume
2010-05-27,25.809999,26.280001,25.490000,26.200001,19.708569,823100
2010-05-28,26.240000,26.240000,25.799999,25.799999,19.407675,320100
2010-06-01,25.450001,26.139999,25.139999,25.139999,18.911194,47800
2010-06-02,25.549999,26.030001,25.420000,26.030001,19.580690,319300
2010-06-03,26.270000,26.270000,25.540001,25.799999,19.407675,216700
2010-06-04,23.959999,24.299999,23.559999,23.559999,17.722664,44900
2010-06-07,23.799999,23.879999,23.400000,23.400000,17.602310,13100
2010-06-08,23.750000,24.139999,23.750000,23.879999,17.963377,15800
2010-06-09,24.250000,24.610001,23.910000,23.950001,18.016033,54400
2010-06-10,24.930000,25.389999,24.860001,25.280001,19.016514,20400
2010-06-11,24.809999,24.980000,24.730000,24.730000,18.602783,36300
2010-06-14,25.600000,25.950001,25.320000,25.320000,19.046597,8900
2010-06-15,25.709999,26.270000,25.709999,26.270000,19.761225,5400
2010-06-16,25.639999,26.110001,25.559999,26.110001,19.640867,31300
2010-06-17,25.820000,25.870001,25.400000,25.580000,19.242182,6900
2010-06-18,25.350000,25.920000,25.350000,25.910000,19.490412,15400
2010-06-21,26.080000,26.260000,25.629999,25.690001,19.324926,39300
2010-06-22,25.910000,26.049999,25.629999,25.629999,19.279793,11600
2010-06-23,25.280001,25.500000,24.709999,25.389999,19.226028,56700
2010-06-24,24.900000,25.100000,24.730000,24.750000,18.741404,12000
2010-06-25,25.020000,25.340000,25.020000,25.290001,19.150305,9800
2010-06-28,24.850000,25.090000,24.790001,25.090000,18.998859,16100
2010-06-29,24.030001,24.030001,23.629999,23.760000,17.991749,96400
2010-06-30,23.879999,24.240000,23.809999,23.940001,18.128044,3100
2010-07-01,24.260000,24.400000,23.969999,24.400000,18.476376,27300
2010-07-02,24.940001,24.940001,24.530001,24.530001,18.574814,9200
2010-07-06,25.410000,25.709999,25.230000,25.240000,19.112446,12000
2010-07-07,25.559999,26.100000,25.520000,26.049999,19.725798,34900
2010-07-08,26.080000,26.080000,25.549999,25.740000,19.491060,33300
2010-07-09,25.670000,26.080000,25.629999,26.070000,19.740950,133400
2010-07-12,26.030001,26.129999,25.969999,26.110001,19.771231,2300
2010-07-13,26.530001,26.580000,26.430000,26.530001,20.089273,13100
2010-07-14,26.700001,26.980000,26.680000,26.740000,20.248291,129900
2010-07-15,27.120001,27.360001,26.840000,27.360001,20.717766,55700
2010-07-16,27.040001,27.040001,26.430000,26.440001,20.021122,42600
2010-07-19,26.520000,26.809999,26.510000,26.650000,20.180136,52600
2010-07-20,26.250000,26.889999,26.200001,26.870001,20.346731,24300
2010-07-21,26.709999,26.870001,26.260000,26.330000,19.937824,35800
2010-07-22,27.160000,27.670000,27.160000,27.510000,20.831356,15800
2010-07-23,27.500000,28.139999,27.500000,28.120001,21.293261,33500
2010-07-26,28.219999,28.820000,28.219999,28.820000,21.823326,45300
