Date,Open,High,Low,Close,Adj Close,Volume
2009-06-23,24.070000,24.559999,24.070000,24.490000,19.127005,11600
2009-06-24,24.600000,25.430000,24.590000,25.020000,19.540939,67800
2009-06-25,25.100000,25.799999,25.090000,25.760000,20.118887,62400
2009-06-26,25.790001,27.200001,25.500000,25.709999,20.079834,101600
2009-06-29,25.809999,26.049999,25.549999,25.850000,20.189177,45400
2009-06-30,25.650000,25.760000,25.250000,25.330000,19.783054,38900
2009-07-01,25.430000,25.940001,25.430000,25.879999,20.212608,27200
2009-07-02,25.969999,25.969999,25.200001,25.469999,19.892399,69400
2009-07-06,25.070000,25.100000,24.610001,24.870001,19.423786,25900
2009-07-07,24.790001,24.799999,24.570000,24.590000,19.205101,21100
2009-07-08,24.250000,24.510000,23.790001,24.020000,18.759930,22000
2009-07-09,24.290001,24.639999,24.290001,24.389999,19.048897,14600
2009-07-10,24.549999,24.549999,24.110001,24.240000,18.931751,6200
2009-07-13,24.250000,24.670000,24.010000,24.639999,19.244150,40400
2009-07-14,29.480000,29.480000,24.799999,25.010000,19.533133,51500
2009-07-15,25.080000,25.700001,25.080000,25.680000,20.056406,42200
2009-07-16,25.660000,25.750000,25.450001,25.620001,20.009548,50000
2009-07-17,25.500000,25.860001,25.500000,25.770000,20.126701,80300
2009-07-20,25.959999,26.580000,25.959999,26.570000,20.751511,110100
2009-07-21,26.719999,27.740000,26.170000,26.610001,20.782751,26000
2009-07-22,26.600000,26.830000,26.510000,26.740000,20.884281,30100
2009-07-23,26.860001,27.590000,26.860001,27.590000,21.548147,54400
2009-07-24,27.660000,27.660000,27.309999,27.420000,21.415373,36500
2009-07-27,27.920000,27.959999,27.280001,27.840000,21.743401,65400
2009-07-28,27.540001,27.930000,26.850000,27.549999,21.516901,65900
2009-07-29,27.100000,27.100000,26.549999,26.830000,20.954569,30500
2009-07-30,27.200001,27.400000,27.190001,27.250000,21.282598,44000
2009-07-31,27.370001,27.790001,27.370001,27.780001,21.696531,30200
2009-08-03,29.020000,29.020000,28.309999,28.650000,22.376009,19400
2009-08-04,28.500000,29.139999,28.340000,29.120001,22.743092,21800
