Date,Open,High,Low,Close,Adj Close,Volume
2014-05-02,24.700001,24.709999,24.700001,24.709999,19.675814,700
2014-05-05,25.420000,25.420000,25.160000,25.290001,20.137648,1400
2014-05-06,25.250000,25.250000,25.010000,25.010000,19.914694,3200
2014-05-07,25.040001,25.059999,25.000000,25.059999,19.954508,1300
2014-05-08,25.280001,25.280001,25.200001,25.200001,20.065985,1500
2014-05-09,25.100000,25.139999,25.100000,25.139999,20.018208,1100
2014-05-12,25.510000,25.510000,25.430000,25.459999,20.273012,1400
2014-05-13,25.520000,25.590000,25.490000,25.490000,20.296904,1600
2014-05-14,25.580000,25.580000,25.469999,25.490000,20.296904,2400
2014-05-15,25.459999,25.459999,25.350000,25.379999,20.209312,3000
2014-05-16,25.299999,25.340000,25.290001,25.340000,20.177465,1100
2014-05-19,24.860001,24.930000,24.860001,24.900000,19.827105,7600
2014-05-20,24.820000,24.820000,24.370001,24.400000,19.428970,7300
2014-05-21,24.370001,24.639999,24.370001,24.549999,19.548412,3400
2014-05-22,25.190001,25.230000,25.049999,25.100000,19.986357,3700
2014-05-23,25.010000,25.200001,25.010000,25.070000,19.962467,4700
2014-05-27,26.260000,26.260000,25.760000,26.010000,20.710964,70200
2014-05-28,26.200001,26.200001,25.500000,25.860001,20.591524,7000
2014-05-29,26.379999,26.650000,26.120001,26.410000,21.029469,326900
2014-05-30,26.440001,27.150000,26.440001,27.150000,21.618710,738800
2014-06-02,26.940001,26.940001,26.490999,26.490999,21.093967,112800
2014-06-03,26.000000,26.000000,25.700001,25.920000,20.639297,75300
2014-06-04,25.650000,25.760000,25.650000,25.750000,20.503931,112500
2014-06-05,26.014999,26.540001,25.940001,26.540001,21.132986,48300
2014-06-06,26.959999,26.959999,26.010000,26.629999,21.204647,134100
2014-06-09,25.480000,25.850000,25.059999,25.850000,20.583559,44500
2014-06-10,25.379999,25.410000,25.010000,25.389999,20.217278,4900
2014-06-11,25.340000,25.340000,24.990000,24.990000,19.898771,7600
2014-06-12,25.000999,25.000999,25.000999,25.000999,19.907526,400
2014-06-13,25.353001,25.660000,25.150000,25.660000,20.432270,4600
2014-06-16,24.790001,24.790001,23.990000,24.280001,19.333416,151400
2014-06-17,23.980000,24.170000,23.950001,23.959999,19.078611,74700
2014-06-18,24.070000,24.320000,23.980000,24.270000,19.325457,72000
2014-06-19,24.270000,24.270000,23.830000,23.830000,18.975098,15700
2014-06-20,23.809999,23.959999,23.760000,23.860001,18.998983,7500
2014-06-23,23.780001,23.780001,23.610001,23.620001,18.807878,54800
2014-06-24,23.610001,23.799999,23.580999,23.600000,18.791954,6200
2014-06-25,23.410000,23.410000,23.031000,23.299999,18.553074,1900
2014-06-26,22.920000,22.920000,22.440001,22.730000,18.099201,13400
2014-06-27,22.860001,22.879999,22.750000,22.809999,18.162901,13900
2014-06-30,22.059999,22.059999,21.790001,21.850000,17.398483,41700
2014-07-01,22.740000,23.299999,22.740000,22.990000,18.306229,55200
2014-07-02,23.139999,23.787001,23.139999,23.500000,18.712328,8200
2014-07-03,23.549999,23.709999,23.400000,23.559999,18.760101,13200
2014-07-07,23.809999,23.809999,23.520000,23.520000,18.728254,1600
2014-07-08,23.600000,24.120001,23.600000,24.014999,19.122406,21800
2014-07-09,24.540001,24.610001,24.400000,24.610001,19.596184,4500
2014-07-10,24.940001,24.950001,24.811001,24.820000,19.763401,6300
2014-07-11,24.990000,25.000000,24.900000,24.900000,19.827105,2800
2014-07-14,25.059999,25.098000,25.000000,25.090000,19.978394,119000
2014-07-15,25.100000,25.580000,25.100000,25.540001,20.336718,207800
2014-07-16,25.900000,25.900000,25.670000,25.730000,20.488005,30400
2014-07-17,25.820000,26.049999,25.690001,25.709999,20.472082,9900
2014-07-18,25.709999,25.930000,25.709999,25.920000,20.639297,13600
2014-07-21,25.500000,25.520000,25.340000,25.370001,20.201351,10800
2014-07-22,25.809999,25.950001,25.750000,25.750000,20.503931,700
2014-07-23,26.040001,26.040001,25.610001,25.610001,20.392456,1300
2014-07-24,25.360001,25.360001,24.879999,25.180000,20.050060,16300
2014-07-25,24.790001,24.940001,24.790001,24.913000,19.837452,22000
2014-07-28,24.910000,25.150000,24.910000,25.150000,20.026173,1000
2014-07-29,25.180000,25.190001,25.090000,25.150000,20.026173,22000
2014-07-30,25.000000,25.000000,24.840000,24.870001,19.803215,6300
2014-07-31,24.660000,25.330000,24.660000,24.719999,19.683773,29300
2014-08-01,24.750000,24.750000,24.690001,24.690001,19.659889,900
2014-08-04,25.320000,25.320000,24.760000,25.129999,20.010244,67300
2014-08-05,25.110001,25.450001,25.110001,25.450001,20.265051,5100
2014-08-06,25.520000,25.520000,25.177999,25.340000,20.177465,10000
2014-08-07,25.054001,25.054001,25.054001,25.054001,19.949732,200
2014-08-08,25.469999,25.830000,24.995001,25.180000,20.050060,8700
2014-08-11,26.450001,26.450001,25.391001,25.650000,20.424309,11700
2014-08-12,25.600000,25.620001,25.590000,25.590000,20.376530,500
2014-08-13,26.469999,26.469999,26.299999,26.420000,21.037434,8400
2014-08-14,26.420000,26.420000,26.420000,26.420000,21.037434,0
2014-08-15,26.330000,26.330000,26.330000,26.330000,20.965769,600
2014-08-18,26.322001,26.430000,26.322001,26.430000,21.045397,600
2014-08-19,26.320000,26.320000,26.284000,26.299999,20.941877,800
2014-08-20,26.549999,26.590000,26.510000,26.590000,21.172800,9900
2014-08-21,26.660000,26.709999,26.389999,26.389999,21.013546,56000
2014-08-22,26.340000,26.490000,26.330000,26.430000,21.045397,4900
2014-08-25,26.590000,26.796000,26.590000,26.796000,21.336832,5600
2014-08-26,26.642000,26.750000,26.642000,26.650000,21.220573,1400
2014-08-27,26.420000,26.469999,26.270000,26.469999,21.077244,130900
2014-08-28,26.020000,26.059999,25.730000,25.980000,20.687075,34900
2014-08-29,25.559999,25.750000,25.430000,25.480000,20.288940,47700
2014-09-02,26.190001,26.190001,25.658001,25.658001,20.430676,12600
2014-09-03,25.799999,26.080000,25.799999,26.080000,20.766701,4800
2014-09-04,26.490000,26.490000,26.070000,26.070000,20.758739,162500
2014-09-05,26.299999,26.389999,26.290001,26.299999,20.941877,6300
2014-09-08,26.400000,26.400000,26.350000,26.350000,20.981695,500
2014-09-09,26.459999,26.490000,26.440001,26.480000,21.085207,24000
2014-09-10,26.510000,26.510000,26.474001,26.474001,21.080433,1300
2014-09-11,26.410000,26.480000,26.330000,26.389999,21.013546,19500
2014-09-12,26.139999,26.360001,26.139999,26.230000,20.886145,3300
2014-09-15,26.559999,26.709999,26.559999,26.709999,21.268351,24200
2014-09-16,26.559999,26.580000,26.559999,26.580000,21.164839,300
2014-09-17,26.570999,26.930000,26.540001,26.830000,21.363903,14000
2014-09-18,27.209999,27.209999,26.990000,26.990000,21.491304,500
2014-09-19,27.020000,27.160000,26.990000,27.059999,21.547045,269400
2014-09-22,27.010000,27.010000,26.580000,26.639999,21.212610,11400
2014-09-23,26.535000,26.540001,26.270000,26.280001,20.925957,10300
2014-09-24,26.235001,26.440001,26.235001,26.379999,21.005581,5100
2014-09-25,25.990000,26.080000,25.889999,25.990000,20.695036,5800
2014-09-26,25.969999,26.209999,25.969999,26.209999,20.870216,30300
2014-09-29,26.100000,26.145000,26.100000,26.145000,20.818460,700
2014-09-30,26.160000,26.290001,26.100000,26.240000,20.894106,35200
2014-10-01,26.030001,26.030001,26.010000,26.020000,20.718927,1100
2014-10-02,26.270000,26.639999,26.270000,26.620001,21.196688,15500
2014-10-03,26.420000,26.770000,26.420000,26.760000,21.308163,3900
2014-10-06,26.430000,26.590000,26.309999,26.410000,21.029469,13700
2014-10-07,26.709999,26.719999,26.540001,26.540001,21.132986,2800
2014-10-08,26.770000,26.860001,26.770000,26.860001,21.387793,800
2014-10-09,26.850000,26.850000,26.360001,26.582001,21.166431,8400
2014-10-10,26.629999,26.629999,26.629999,26.629999,21.204647,400
2014-10-13,26.090000,26.090000,25.530001,25.530001,20.328754,2400
2014-10-14,25.799999,25.860001,25.620001,25.650000,20.424309,18100
2014-10-15,25.480000,25.480000,24.763000,25.049999,19.946545,4500
2014-10-16,24.487000,24.870001,24.487000,24.780001,19.731550,1800
2014-10-17,24.780001,24.870001,24.780001,24.840000,19.779325,1800
2014-10-20,24.853001,24.920000,24.790001,24.889999,19.819139,9700
2014-10-21,25.190001,25.190001,25.190001,25.190001,20.058022,600
2014-10-22,25.309999,25.430000,25.260000,25.260000,20.113760,5300
2014-10-23,25.590000,25.870001,25.580000,25.600000,20.384493,2000
2014-10-24,25.969999,26.100000,25.820000,25.820000,20.559671,150500
2014-10-27,25.959999,26.084000,25.549999,25.780001,20.527821,7900
2014-10-28,25.650000,26.139999,25.650000,26.139999,20.814474,4900
2014-10-29,26.059999,26.190001,25.900000,26.190001,20.854292,700
2014-10-30,25.750000,26.200001,25.420000,25.790001,20.535782,23600
2014-10-31,25.889999,25.889999,25.872000,25.872000,20.601078,1100
2014-11-03,25.872000,25.872000,25.872000,25.872000,20.601078,0
2014-11-04,26.270000,26.330000,26.070000,26.309999,20.949842,9800
2014-11-05,25.860001,25.860001,25.629999,25.660000,20.432270,4700
2014-11-06,25.730000,25.750000,25.730000,25.750000,20.503931,300
2014-11-07,25.900000,25.950001,25.900000,25.940001,20.655224,10000
2014-11-10,26.290001,26.290001,26.280001,26.290001,20.933916,7300
2014-11-11,26.290001,26.290001,26.290001,26.290001,20.933916,0
2014-11-12,26.330000,26.340000,26.110001,26.340000,20.973732,31400
2014-11-13,26.100000,26.280001,25.879999,25.920000,20.639297,30900
2014-11-14,25.920000,26.035000,25.920000,26.035000,20.730869,400
2014-11-17,26.100000,26.100000,26.100000,26.100000,20.782627,200
2014-11-18,26.230000,26.356001,26.230000,26.356001,20.986471,1700
2014-11-19,26.444000,26.570000,26.370001,26.370001,20.997622,3200
2014-11-20,26.469999,26.570000,26.459999,26.559999,21.148912,33000
2014-11-21,26.580000,26.590000,26.580000,26.590000,21.172800,200
2014-11-24,26.260000,26.260000,26.090000,26.090000,20.774666,1200
2014-11-25,26.049999,26.350000,25.900000,26.350000,20.981695,243300
2014-11-26,26.120001,26.180000,25.780001,25.780001,20.527821,21800
2014-11-28,25.780001,25.780001,25.780001,25.780001,20.527821,0
2014-12-01,25.040001,25.070000,24.610001,24.610001,19.596184,6700
2014-12-02,24.860001,24.860001,24.240000,24.270000,19.325457,24900
2014-12-03,24.030001,26.059999,23.840000,24.200001,19.269718,158600
2014-12-04,24.270000,24.270000,24.200001,24.240000,19.301565,3300
2014-12-05,24.270000,24.350000,24.250000,24.340000,19.381193,14800
2014-12-08,24.122999,24.165001,24.020000,24.020000,19.126387,1100
