Date,Open,High,Low,Close,Adj Close,Volume
2014-05-02,25.400000,25.400000,25.400000,25.400000,19.291636,600
2014-05-05,25.959999,26.070000,25.959999,26.065001,19.796715,1700
2014-05-06,25.969999,26.070000,25.879999,25.879999,19.656206,1700
2014-05-07,25.850000,25.941999,25.834999,25.870001,19.648613,5300
2014-05-08,25.959999,25.959999,25.900000,25.900000,19.671394,1500
2014-05-09,25.780001,25.820000,25.780001,25.809999,19.603039,2200
2014-05-12,25.480000,25.549999,25.480000,25.510000,19.375185,2000
2014-05-13,25.969999,25.990000,25.930000,25.950001,19.709372,1800
2014-05-14,26.240000,26.350000,26.000000,26.000000,19.747347,1300
2014-05-15,25.650000,25.709000,25.639999,25.709000,19.526325,2800
2014-05-16,25.549999,25.590000,25.540001,25.590000,19.435946,1100
2014-05-19,24.400000,24.420000,24.240000,24.299999,18.456171,8800
2014-05-20,23.690001,23.690001,23.219999,23.410000,17.780207,9000
2014-05-21,24.010000,24.290001,24.010000,24.120001,18.319462,11600
2014-05-22,24.480000,24.480000,24.299999,24.309999,18.463770,3600
2014-05-23,24.240000,24.379999,24.230000,24.330000,18.478960,5200
2014-05-27,25.500000,25.511999,25.059999,25.309999,19.223284,17500
2014-05-28,24.650000,24.799999,24.340000,24.610001,18.691624,16000
2014-05-29,25.990000,26.080000,25.559999,25.559999,19.413160,823300
2014-05-30,25.820000,26.100000,25.700001,25.790001,19.587851,755500
2014-06-02,26.780001,26.780001,26.250000,26.250000,19.937223,12100
2014-06-03,26.049999,26.049999,25.863001,26.038000,19.806389,59100
2014-06-04,25.780001,25.780001,25.500000,25.625000,19.492229,141800
2014-06-05,26.059999,26.059999,25.780001,25.950001,19.739449,77000
2014-06-06,26.080000,26.340000,25.830000,26.340000,20.036114,98300
2014-06-09,24.940001,24.940001,24.549999,24.900000,18.940744,139500
2014-06-10,24.459999,24.469999,24.250000,24.320000,18.499552,63600
2014-06-11,24.330000,24.340000,24.100000,24.100000,18.332205,9300
2014-06-12,24.469999,24.780001,24.410000,24.459999,18.606045,11400
2014-06-13,24.990000,24.990000,24.452999,24.870001,18.917923,13700
2014-06-16,23.410000,23.410000,22.850000,23.056000,17.538063,137900
2014-06-17,22.600000,22.879999,22.580000,22.740000,17.297689,85400
2014-06-18,22.549999,23.209999,22.549999,23.180000,17.632389,64000
2014-06-19,23.320000,23.544001,23.209999,23.209999,17.655207,69700
2014-06-20,23.100000,23.368999,23.100000,23.129999,17.594357,7600
2014-06-23,22.660000,22.660000,22.040001,22.198000,16.885405,50300
2014-06-24,21.350000,21.490000,20.930000,21.233999,16.152121,139300
2014-06-25,22.219999,22.219999,21.860001,21.870001,16.635906,47800
2014-06-26,22.230000,22.230000,21.840000,21.879999,16.643509,22700
2014-06-27,22.090000,22.090000,21.850000,21.889999,16.651117,14700
2014-06-30,21.209999,21.290001,20.790001,20.850000,15.860022,133700
2014-07-01,21.510000,21.510000,20.945000,21.000000,15.974119,115400
2014-07-02,21.770000,22.500000,21.770000,22.430000,17.061882,77900
2014-07-03,22.480000,22.500000,22.299999,22.430000,17.061882,202400
2014-07-07,22.750000,23.165001,22.750000,22.840000,17.373758,103300
2014-07-08,22.870001,22.889999,22.563999,22.563999,17.163813,39300
2014-07-09,22.910000,22.920000,22.850000,22.889999,17.411791,8200
2014-07-10,22.632000,23.118999,22.632000,22.879999,17.404184,33800
2014-07-11,22.980000,23.139999,22.980000,23.139999,17.601961,1300
2014-07-14,23.420000,23.420000,23.080000,23.209999,17.655207,15700
2014-07-15,23.500000,23.700001,23.490000,23.620001,17.967085,38800
2014-07-16,24.055000,24.055000,23.799999,23.950001,18.218105,21500
2014-07-17,24.160000,24.219999,23.900000,23.921000,18.196045,36100
2014-07-18,24.190001,24.190001,23.809999,24.170000,18.385450,7700
