Security,JPEICORE Index                                                  ,
Start Date,12/31/1999 0:00,
End Date,2/19/2021 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,
2/19/2021,627.326,
2/18/2021,629.061,
2/17/2021,628.178,
2/16/2021,629.821,
2/12/2021,635.346,
2/11/2021,636.697,
2/10/2021,635.874,
2/9/2021,635.277,
2/8/2021,636.194,
2/5/2021,637.491,
2/4/2021,635.441,
2/3/2021,634.904,
2/2/2021,635.22,
2/1/2021,634.401,
1/29/2021,633.771,
1/28/2021,633.7,
1/27/2021,633.49,
1/26/2021,634.525,
1/25/2021,634.227,
1/22/2021,632.977,
1/21/2021,632.839,
1/20/2021,632.189,
1/19/2021,631.627,
1/15/2021,631.445,
1/14/2021,632.201,
1/13/2021,631.75,
1/12/2021,629.665,
1/11/2021,633.908,
1/8/2021,636.18,
1/7/2021,635.832,
1/6/2021,637.444,
1/5/2021,641.242,
1/4/2021,643.066,
12/31/2020,642.518,
12/30/2020,641.795,
12/29/2020,641.06,
12/28/2020,640.294,
12/24/2020,640.251,
12/23/2020,639.908,
12/22/2020,639.644,
12/21/2020,639.12,
12/18/2020,640.551,
12/17/2020,640.185,
12/16/2020,638.693,
12/15/2020,637.674,
12/14/2020,636.666,
12/11/2020,636.142,
12/10/2020,635.247,
12/9/2020,634.44,
12/8/2020,634.765,
12/7/2020,635.173,
12/4/2020,635.349,
12/3/2020,634.083,
12/2/2020,631.539,
12/1/2020,631.089,
11/30/2020,630.278,
11/27/2020,631.13,
11/25/2020,630.418,
11/24/2020,630.134,
11/23/2020,629.766,
11/20/2020,630.292,
11/19/2020,628.724,
11/18/2020,628.013,
11/17/2020,627.65,
11/16/2020,628.461,
11/13/2020,627.414,
11/12/2020,626.991,
11/10/2020,623.627,
11/9/2020,625.403,
11/6/2020,620.573,
11/5/2020,622.734,
11/4/2020,616.065,
11/3/2020,609.365,
11/2/2020,606.006,
10/30/2020,605.476,
10/29/2020,606.68,
10/28/2020,608.05,
10/27/2020,610.464,
10/26/2020,608.744,
10/23/2020,608.964,
10/22/2020,609.802,
10/21/2020,611.471,
10/20/2020,613.497,
10/19/2020,615.578,
10/16/2020,616.284,
10/15/2020,615.224,
10/14/2020,616.538,
10/13/2020,617.297,
10/9/2020,615.754,
10/8/2020,613.196,
10/7/2020,609.596,
10/6/2020,608.867,
10/5/2020,607.519,
10/2/2020,606.096,
10/1/2020,607.044,
9/30/2020,605.491,
9/29/2020,604.709,
9/28/2020,605.478,
9/25/2020,604.755,
9/24/2020,602.658,
9/23/2020,604.798,
9/22/2020,608.248,
9/21/2020,610.431,
9/18/2020,616.962,
9/17/2020,618.279,
9/16/2020,620.743,
9/15/2020,621.049,
9/14/2020,619.977,
9/11/2020,620.472,
9/10/2020,621.031,
9/9/2020,620.79,
9/8/2020,621.897,
9/4/2020,624.178,
9/3/2020,627.17,
9/2/2020,626.897,
9/1/2020,623.039,
8/31/2020,617.778,
8/28/2020,616.882,
8/27/2020,617.331,
8/26/2020,618.549,
8/25/2020,619.939,
8/24/2020,621.405,
8/21/2020,619.891,
8/20/2020,618.783,
8/19/2020,619.96,
8/18/2020,618.892,
8/17/2020,619.886,
8/14/2020,620.968,
8/13/2020,623.863,
8/12/2020,623.805,
8/11/2020,625.254,
8/10/2020,625.075,
8/7/2020,624.17,
8/6/2020,623.746,
8/5/2020,621.863,
8/4/2020,618.89,
8/3/2020,616.313,
7/31/2020,615.446,
7/30/2020,613.142,
7/29/2020,612.877,
7/28/2020,611.54,
7/27/2020,611.897,
7/24/2020,610.82,
7/23/2020,612.508,
7/22/2020,611.556,
7/21/2020,609.351,
7/20/2020,604.944,
7/17/2020,602.522,
7/16/2020,600.986,
7/15/2020,600.075,
7/14/2020,597.504,
7/13/2020,598.776,
7/10/2020,597.67,
7/9/2020,599.143,
7/8/2020,599.403,
7/7/2020,600.06,
7/6/2020,600.551,
7/2/2020,597.205,
7/1/2020,594.069,
6/30/2020,591.788,
6/29/2020,591.137,
6/26/2020,591.721,
6/25/2020,591.347,
6/24/2020,592.198,
6/23/2020,593.218,
6/22/2020,591.826,
6/19/2020,591.23,
6/18/2020,589.305,
6/17/2020,589.353,
6/16/2020,589.439,
6/15/2020,582.249,
6/12/2020,584.937,
6/11/2020,585.725,
6/10/2020,590.138,
6/9/2020,590.18,
6/8/2020,590.439,
6/5/2020,586.238,
6/4/2020,583.335,
6/3/2020,583.521,
6/2/2020,577.536,
6/1/2020,574.071,
5/29/2020,571.893,
5/28/2020,573.071,
5/27/2020,573.744,
5/26/2020,574.218,
5/22/2020,570.866,
5/21/2020,572.765,
5/20/2020,568.129,
5/19/2020,561.326,
5/18/2020,558.302,
5/15/2020,551.801,
5/14/2020,547.493,
5/13/2020,550.251,
5/12/2020,552.568,
5/11/2020,550.502,
5/8/2020,546.817,
5/7/2020,545.119,
5/6/2020,542.385,
5/5/2020,542.476,
5/4/2020,537.028,
5/1/2020,537.895,
4/30/2020,537.266,
4/29/2020,531.525,
4/28/2020,526.498,
4/27/2020,526.569,
4/24/2020,528.053,
4/23/2020,528.322,
4/22/2020,526.821,
4/21/2020,527.983,
4/20/2020,533.801,
4/17/2020,536.99,
4/16/2020,535.385,
