Start Date,2003-05-01,,
End Date,,,
,,,
,EEM US Equity,MXEF Index,ACWI US Equity
,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST
2003-05-01,11.671,295.29,#N/A N/A
2003-05-02,11.85,296.71,#N/A N/A
2003-05-05,11.978,299.46,#N/A N/A
2003-05-06,12.039,299.38,#N/A N/A
2003-05-07,12.017,302.19,#N/A N/A
2003-05-08,11.911,300.21,#N/A N/A
2003-05-09,12.051,302.46,#N/A N/A
2003-05-12,12.219,305.9,#N/A N/A
2003-05-13,12.15,305.68,#N/A N/A
2003-05-14,12.089,305,#N/A N/A
2003-05-15,12.113,305.23,#N/A N/A
2003-05-16,12.122,303.02,#N/A N/A
2003-05-19,11.833,300.5,#N/A N/A
2003-05-20,11.892,299.84,#N/A N/A
2003-05-21,11.902,300.25,#N/A N/A
2003-05-22,12.01,302.12,#N/A N/A
2003-05-23,12.133,307.08,#N/A N/A
2003-05-26,12.133,310.8,#N/A N/A
2003-05-27,12.568,309.11,#N/A N/A
2003-05-28,12.622,312.9,#N/A N/A
2003-05-29,12.639,314.84,#N/A N/A
2003-05-30,12.786,315.44,#N/A N/A
2003-06-02,12.878,319.47,#N/A N/A
2003-06-03,12.78,318.19,#N/A N/A
2003-06-04,12.944,319.85,#N/A N/A
2003-06-05,12.958,322.71,#N/A N/A
2003-06-06,13.079,324.48,#N/A N/A
2003-06-09,12.967,325.73,#N/A N/A
2003-06-10,13.1,325.05,#N/A N/A
2003-06-11,13.111,325.35,#N/A N/A
2003-06-12,13.21,328.98,#N/A N/A
2003-06-13,13.206,330.16,#N/A N/A
2003-06-16,13.348,331.69,#N/A N/A
2003-06-17,13.622,337.56,#N/A N/A
2003-06-18,13.572,335.59,#N/A N/A
2003-06-19,13.572,337.3,#N/A N/A
2003-06-20,13.572,336.28,#N/A N/A
2003-06-23,13.239,331.64,#N/A N/A
2003-06-24,13.141,329.68,#N/A N/A
2003-06-25,13.25,332.69,#N/A N/A
2003-06-26,13.393,332.52,#N/A N/A
2003-06-27,13.331,333.57,#N/A N/A
2003-06-30,13.322,332.68,#N/A N/A
2003-07-01,13.467,336.75,#N/A N/A
2003-07-02,13.783,341.33,#N/A N/A
2003-07-03,13.822,343.23,#N/A N/A
2003-07-04,13.822,344.82,#N/A N/A
2003-07-07,14.164,349.76,#N/A N/A
2003-07-08,14.204,351.53,#N/A N/A
2003-07-09,14.171,349.71,#N/A N/A
2003-07-10,13.922,346.82,#N/A N/A
2003-07-11,14.039,346.42,#N/A N/A
2003-07-14,14.286,353.43,#N/A N/A
2003-07-15,14.106,352.01,#N/A N/A
2003-07-16,14.117,350.35,#N/A N/A
2003-07-17,13.748,346.22,#N/A N/A
2003-07-18,13.931,344.54,#N/A N/A
2003-07-21,13.747,343.65,#N/A N/A
2003-07-22,13.911,344.92,#N/A N/A
2003-07-23,13.822,344.19,#N/A N/A
2003-07-24,13.889,347.6,#N/A N/A
2003-07-25,14.117,350.41,#N/A N/A
2003-07-28,14.194,354.46,#N/A N/A
2003-07-29,14.114,353.35,#N/A N/A
2003-07-30,14.011,351.26,#N/A N/A
2003-07-31,14.078,352.62,#N/A N/A
2003-08-01,14.109,353.23,#N/A N/A
2003-08-04,14.047,351.95,#N/A N/A
2003-08-05,13.896,350.15,#N/A N/A
2003-08-06,13.833,347.05,#N/A N/A
2003-08-07,13.934,349.72,#N/A N/A
2003-08-08,14.028,349.61,#N/A N/A
2003-08-11,14.089,352.33,#N/A N/A
2003-08-12,14.144,352.78,#N/A N/A
2003-08-13,14.344,357.54,#N/A N/A
2003-08-14,14.533,360.92,#N/A N/A
2003-08-15,14.389,362.18,#N/A N/A
2003-08-18,14.696,364.59,#N/A N/A
2003-08-19,14.768,365.88,#N/A N/A
2003-08-20,14.77,366.43,#N/A N/A
2003-08-21,15.041,371.42,#N/A N/A
2003-08-22,15.118,372.85,#N/A N/A
2003-08-25,15,371.34,#N/A N/A
2003-08-26,14.817,369.32,#N/A N/A
2003-08-27,14.989,371.08,#N/A N/A
2003-08-28,15.093,371.56,#N/A N/A
2003-08-29,15.202,375.52,#N/A N/A
2003-09-01,15.202,378.9,#N/A N/A
2003-09-02,15.428,378.7,#N/A N/A
2003-09-03,15.55,381.62,#N/A N/A
2003-09-04,15.606,382.8,#N/A N/A
2003-09-05,15.591,384.73,#N/A N/A
2003-09-08,15.887,386.1,#N/A N/A
2003-09-09,15.611,384.81,#N/A N/A
2003-09-10,15.351,383.48,#N/A N/A
2003-09-11,15.333,384.03,#N/A N/A
2003-09-12,15.442,383.97,#N/A N/A
2003-09-15,15.214,380.49,#N/A N/A
2003-09-16,15.528,383.68,#N/A N/A
2003-09-17,15.461,384.77,#N/A N/A
2003-09-18,15.639,384.31,#N/A N/A
2003-09-19,15.567,382.83,#N/A N/A
2003-09-22,15.312,378.86,#N/A N/A
2003-09-23,15.35,380.46,#N/A N/A
2003-09-24,15.378,383.3,#N/A N/A
2003-09-25,15.15,379.63,#N/A N/A
2003-09-26,15.044,376.66,#N/A N/A
2003-09-29,15.151,377,#N/A N/A
2003-09-30,15.103,377.63,#N/A N/A
2003-10-01,15.5,381.67,#N/A N/A
2003-10-02,15.722,387.05,#N/A N/A
2003-10-03,15.878,390.32,#N/A N/A
2003-10-06,15.939,393.78,#N/A N/A
2003-10-07,15.922,395.94,#N/A N/A
2003-10-08,16.041,398.57,#N/A N/A
2003-10-09,16.311,403.69,#N/A N/A
2003-10-10,16.511,407.88,#N/A N/A
2003-10-13,16.761,410.49,#N/A N/A
2003-10-14,16.441,408.72,#N/A N/A
2003-10-15,16.64,407.81,#N/A N/A
2003-10-16,16.636,411.61,#N/A N/A
2003-10-17,16.534,409.65,#N/A N/A
2003-10-20,16.627,411.1,#N/A N/A
2003-10-21,16.71,410.05,#N/A N/A
2003-10-22,16.464,408.94,#N/A N/A
2003-10-23,16.222,400.73,#N/A N/A
2003-10-24,16.137,400.68,#N/A N/A
2003-10-27,16.322,400.97,#N/A N/A
2003-10-28,16.546,407.08,#N/A N/A
2003-10-29,16.683,408.79,#N/A N/A
2003-10-30,16.623,409.89,#N/A N/A
2003-10-31,16.49,409.11,#N/A N/A
2003-11-03,16.883,415.49,#N/A N/A
2003-11-04,16.93,417.48,#N/A N/A
2003-11-05,16.952,417.58,#N/A N/A
2003-11-06,16.831,413.77,#N/A N/A
2003-11-07,16.849,416.47,#N/A N/A
2003-11-10,16.617,414.11,#N/A N/A
2003-11-11,16.403,409.64,#N/A N/A
2003-11-12,16.696,412.51,#N/A N/A
2003-11-13,16.824,417.6,#N/A N/A
2003-11-14,16.739,417.67,#N/A N/A
2003-11-17,16.412,410.3,#N/A N/A
2003-11-18,16.444,410.77,#N/A N/A
2003-11-19,16.338,404.27,#N/A N/A
2003-11-20,16.127,401.15,#N/A N/A
2003-11-21,16.267,403.72,#N/A N/A
2003-11-24,16.443,401.04,#N/A N/A
2003-11-25,16.5,405.5,#N/A N/A
2003-11-26,16.651,408.9,#N/A N/A
2003-11-27,16.651,408.63,#N/A N/A
2003-11-28,16.8,413.33,#N/A N/A
2003-12-01,17.281,421.29,#N/A N/A
2003-12-02,17.204,422.68,#N/A N/A
2003-12-03,17.144,423.65,#N/A N/A
2003-12-04,17.027,421.19,#N/A N/A
2003-12-05,16.994,419.68,#N/A N/A
2003-12-08,17.028,418.73,#N/A N/A
2003-12-09,16.957,423.1,#N/A N/A
2003-12-10,16.889,421.77,#N/A N/A
2003-12-11,17.197,423.51,#N/A N/A
2003-12-12,17.276,426.37,#N/A N/A
2003-12-15,17.289,429.6,#N/A N/A
2003-12-16,17.217,425.65,#N/A N/A
2003-12-17,17.017,421.97,#N/A N/A
2003-12-18,17.291,425.78,#N/A N/A
2003-12-19,17.333,427.76,#N/A N/A
2003-12-22,17.5,430.57,#N/A N/A
2003-12-23,17.548,430.64,#N/A N/A
2003-12-24,17.604,432.37,#N/A N/A
2003-12-25,17.604,432.43,#N/A N/A
2003-12-26,17.649,433.36,#N/A N/A
2003-12-29,17.916,436.3,#N/A N/A
2003-12-30,18.001,441.63,#N/A N/A
2003-12-31,18.214,442.78,#N/A N/A
2004-01-01,18.214,443.14,#N/A N/A
2004-01-02,18.62,450.7,#N/A N/A
2004-01-05,19.273,462.29,#N/A N/A
2004-01-06,19.056,460.95,#N/A N/A
2004-01-07,19.1,459.84,#N/A N/A
2004-01-08,19.172,461.86,#N/A N/A
2004-01-09,19.138,468.07,#N/A N/A
2004-01-12,19.121,467.36,#N/A N/A
2004-01-13,19.012,467.66,#N/A N/A
2004-01-14,19.042,464.13,#N/A N/A
2004-01-15,18.653,458.75,#N/A N/A
2004-01-16,18.733,459.11,#N/A N/A
2004-01-19,18.733,462.46,#N/A N/A
2004-01-20,19.278,467.07,#N/A N/A
2004-01-21,19.303,465.47,#N/A N/A
2004-01-22,19.254,465.64,#N/A N/A
2004-01-23,19.222,467.9,#N/A N/A
2004-01-26,19.35,469.77,#N/A N/A
2004-01-27,19.252,471.44,#N/A N/A
2004-01-28,18.98,468.84,#N/A N/A
2004-01-29,18.681,459.23,#N/A N/A
2004-01-30,18.656,457.19,#N/A N/A
2004-02-02,18.66,456.76,#N/A N/A
2004-02-03,18.556,457.28,#N/A N/A
2004-02-04,18.389,455.68,#N/A N/A
2004-02-05,18.383,453.64,#N/A N/A
2004-02-06,18.802,459.98,#N/A N/A
2004-02-09,19.073,467.95,#N/A N/A
2004-02-10,19.057,468.95,#N/A N/A
2004-02-11,19.352,472.08,#N/A N/A
2004-02-12,19.342,477.17,#N/A N/A
2004-02-13,19.356,480.05,#N/A N/A
2004-02-16,19.356,479.63,#N/A N/A
2004-02-17,19.744,483.69,#N/A N/A
2004-02-18,19.476,483.19,#N/A N/A
2004-02-19,19.306,478.54,#N/A N/A
2004-02-20,19.089,475.48,#N/A N/A
2004-02-23,18.922,473.38,#N/A N/A
2004-02-24,18.822,470.44,#N/A N/A
2004-02-25,19.028,470.96,#N/A N/A
2004-02-26,19.122,472.6,#N/A N/A
2004-02-27,19.393,477.73,#N/A N/A
2004-03-01,19.836,485.28,#N/A N/A
2004-03-02,19.678,488.37,#N/A N/A
2004-03-03,19.556,482.41,#N/A N/A
2004-03-04,19.689,485.45,#N/A N/A
2004-03-05,19.761,488.31,#N/A N/A
2004-03-08,19.572,486.31,#N/A N/A
2004-03-09,19.444,485.25,#N/A N/A
2004-03-10,19,476.34,#N/A N/A
2004-03-11,18.589,469.34,#N/A N/A
2004-03-12,18.744,466.8,#N/A N/A
2004-03-15,18.394,464.25,#N/A N/A
2004-03-16,18.622,464.57,#N/A N/A
2004-03-17,18.878,470.02,#N/A N/A
2004-03-18,18.989,474.64,#N/A N/A
