Index BBG Ticker,Full Index Name,Number of Issues,"Sum of Market Value (mm, USD)",Effective Duration,Inception Date
GDID,ICE BofA US Dollar Indonesia Sovereign Index,48,78196.03,9.3,1996-12-31
GDTR,ICE BofA US Dollar Turkey Sovereign Index,32,74306.07,6.14,1997-08-31
GDMX,ICE BofA US Dollar Mexico Sovereign Index,26,67275.07,11.66,1991-12-31
GDEG,ICE BofA US Dollar Egypt Sovereign Index,22,32943.78,6.43,2001-07-31
GDPH,ICE BofA US Dollar Philippines Sovereign Index,20,34947.25,9.48,1991-12-31
GDBH,ICE BofA US Dollar Bahrain Sovereign Index,19,21849.81,6.01,2003-06-30
GDBR,ICE BofA US Dollar Brazil Sovereign Index,16,40827.39,8.32,1991-12-31
GDCO,ICE BofA US Dollar Colombia Sovereign Index,16,34084.39,10.7,1997-02-28
GDDO,ICE BofA US Dollar Dominican Republic Sovereign Index,15,25494.47,9.66,2001-09-30
GDPA,ICE BofA US Dollar Panama Sovereign Index,15,28731.88,11.98,1996-07-31
GDQA,ICE BofA US Dollar Qatar Sovereign Index,15,56387.12,11.11,1999-05-31
GDZA,ICE BofA US Dollar South Africa Sovereign Index,14,20839,8.09,1996-10-31
GDCN,ICE BofA US Dollar China Sovereign Index,13,17883.82,6.25,1996-11-30
GDIL,ICE BofA US Dollar Israel Sovereign Index,13,23626.31,14.88,1996-12-31
GDGH,ICE BofA US Dollar Ghana Sovereign Index,11,11147.37,6.7,2007-10-31
GDPE,ICE BofA US Dollar Peru Sovereign Index,11,20340.58,12.29,1997-03-31
GDRU,ICE BofA US Dollar Russia Sovereign Index,11,42860.28,9.33,1996-11-30
GDLK,ICE BofA US Dollar Sri Lanka Sovereign Index,11,7989.37,3.62,2007-10-31
GDCL,ICE BofA US Dollar Chile Sovereign Index,10,13061.13,12.89,1999-04-30
GDSV,ICE BofA US Dollar El Salvador Sovereign Index,10,7469.65,7.3,2002-04-30
GDUA,ICE BofA US Dollar Ukraine Sovereign Index,10,17677.03,5.14,2000-03-31
