date,Brazil,Australia,Canada,Chile,China,Colombia,EMU,Indonesia,India,Japan,Korea,Malaysia,Mexico,Norway,New Zealand,Philippines,Poland,Russia,South Africa,Singapore,Sweden,Switzerland,Taiwan,Thailand,Turkey,UK,USA
20080624,0.148300,0.078130,0.039825,0.076500,0.041800,0.117000,0.051055,0.114627,0.094200,0.015575,0.056900,0.054300,0.093616,0.063026,0.075580,0.077000,0.065600,0.088500,0.118275,0.035750,0.054900,0.036500,0.029200,0.060200,0.190400,0.061145,0.044595
20080625,0.149057,0.078350,0.039970,0.077400,0.041900,0.117800,0.051135,0.113875,0.099500,0.015500,0.056750,0.054000,0.094013,0.063225,0.075260,0.076500,0.065300,0.088200,0.118400,0.035800,0.055025,0.036800,0.028800,0.060600,0.190000,0.060750,0.045275
20080626,0.151161,0.077300,0.039040,0.077700,0.042700,0.118700,0.050230,0.111255,0.099652,0.014960,0.055550,0.054309,0.093717,0.062400,0.075030,0.076500,0.065116,0.088000,0.119275,0.036158,0.054434,0.036360,0.028803,0.062308,0.192100,0.059380,0.043485
20080627,0.152396,0.077350,0.039255,0.077400,0.043000,0.121500,0.050165,0.112248,0.101400,0.015030,0.055500,0.054600,0.094521,0.061695,0.074525,0.077000,0.066028,0.087500,0.119500,0.037000,0.053890,0.036450,0.029150,0.064100,0.192600,0.059810,0.043100
20080630,0.153849,0.077505,0.039900,0.076600,0.042400,0.125500,0.051355,0.114000,0.101750,0.014975,0.056600,0.055000,0.095018,0.062781,0.074510,0.077750,0.066628,0.090000,0.119675,0.037500,0.055150,0.036650,0.029150,0.064500,0.193100,0.060715,0.042715
20080701,0.154013,0.077100,0.039950,0.078100,0.042900,0.126000,0.051395,0.113752,0.105700,0.015275,0.056550,0.055800,0.095321,0.062325,0.074700,0.078750,0.066371,0.090800,0.120450,0.038300,0.054938,0.036450,0.028500,0.064500,0.194900,0.060185,0.042150
20080702,0.155225,0.077170,0.039935,0.078500,0.043700,0.125000,0.052030,0.113756,0.103850,0.015433,0.057650,0.056200,0.094817,0.062350,0.075150,0.081625,0.067300,0.090800,0.119625,0.038100,0.055334,0.036650,0.028700,0.066121,0.194900,0.060000,0.042540
20080703,0.155968,0.076900,0.039870,0.080500,0.043700,0.124500,0.050450,0.113247,0.104000,0.015203,0.058400,0.057600,0.094916,0.061700,0.075130,0.082125,0.066941,0.092300,0.118675,0.037300,0.055050,0.036050,0.029150,0.066000,0.195400,0.058840,0.042685
20080704,0.156534,0.076730,0.039535,0.081200,0.043100,0.124000,0.050310,0.112748,0.099000,0.014910,0.057850,0.055600,0.094954,0.061135,0.074900,0.082125,0.067078,0.092300,0.117775,0.036200,0.054645,0.036040,0.028600,0.064300,0.195400,0.058450,0.042820
20080707,0.155251,0.076460,0.039565,0.080800,0.042300,0.123500,0.049275,0.112498,0.098500,0.015360,0.057700,0.054700,0.096122,0.060185,0.074700,0.084000,0.065952,0.091100,0.116875,0.035950,0.054025,0.035125,0.028700,0.062700,0.188400,0.057540,0.042005
