"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IND","QGDP","TOT","PC_CHGPY","Q","1997-Q2",3.27187,
"IND","QGDP","TOT","PC_CHGPY","Q","1997-Q3",3.99521,
"IND","QGDP","TOT","PC_CHGPY","Q","1997-Q4",4.01085,
"IND","QGDP","TOT","PC_CHGPY","Q","1998-Q1",4.91695,
"IND","QGDP","TOT","PC_CHGPY","Q","1998-Q2",5.85828,
"IND","QGDP","TOT","PC_CHGPY","Q","1998-Q3",6.50887,
"IND","QGDP","TOT","PC_CHGPY","Q","1998-Q4",6.20471,
"IND","QGDP","TOT","PC_CHGPY","Q","1999-Q1",6.19852,
"IND","QGDP","TOT","PC_CHGPY","Q","1999-Q2",7.53136,
"IND","QGDP","TOT","PC_CHGPY","Q","1999-Q3",6.92997,
"IND","QGDP","TOT","PC_CHGPY","Q","1999-Q4",7.28888,
"IND","QGDP","TOT","PC_CHGPY","Q","2000-Q1",7.79075,
"IND","QGDP","TOT","PC_CHGPY","Q","2000-Q2",5.21917,
"IND","QGDP","TOT","PC_CHGPY","Q","2000-Q3",5.30476,
"IND","QGDP","TOT","PC_CHGPY","Q","2000-Q4",3.63806,
"IND","QGDP","TOT","PC_CHGPY","Q","2001-Q1",2.0557,
"IND","QGDP","TOT","PC_CHGPY","Q","2001-Q2",4.03951,
"IND","QGDP","TOT","PC_CHGPY","Q","2001-Q3",3.94624,
"IND","QGDP","TOT","PC_CHGPY","Q","2001-Q4",6.2882,
"IND","QGDP","TOT","PC_CHGPY","Q","2002-Q1",6.56987,
"IND","QGDP","TOT","PC_CHGPY","Q","2002-Q2",5.04817,
"IND","QGDP","TOT","PC_CHGPY","Q","2002-Q3",4.38065,
"IND","QGDP","TOT","PC_CHGPY","Q","2002-Q4",2.11781,
"IND","QGDP","TOT","PC_CHGPY","Q","2003-Q1",3.58059,
"IND","QGDP","TOT","PC_CHGPY","Q","2003-Q2",5.54613,
"IND","QGDP","TOT","PC_CHGPY","Q","2003-Q3",7.68505,
"IND","QGDP","TOT","PC_CHGPY","Q","2003-Q4",11.13362,
"IND","QGDP","TOT","PC_CHGPY","Q","2004-Q1",9.08313,
"IND","QGDP","TOT","PC_CHGPY","Q","2004-Q2",8.9182,
"IND","QGDP","TOT","PC_CHGPY","Q","2004-Q3",8.66936,
"IND","QGDP","TOT","PC_CHGPY","Q","2004-Q4",7.25254,
"IND","QGDP","TOT","PC_CHGPY","Q","2005-Q1",8.73418,
"IND","QGDP","TOT","PC_CHGPY","Q","2005-Q2",9.57187,
"IND","QGDP","TOT","PC_CHGPY","Q","2005-Q3",8.49515,
"IND","QGDP","TOT","PC_CHGPY","Q","2005-Q4",9.12449,
"IND","QGDP","TOT","PC_CHGPY","Q","2006-Q1",9.93377,
"IND","QGDP","TOT","PC_CHGPY","Q","2006-Q2",8.08975,
"IND","QGDP","TOT","PC_CHGPY","Q","2006-Q3",10.12762,
"IND","QGDP","TOT","PC_CHGPY","Q","2006-Q4",9.25047,
"IND","QGDP","TOT","PC_CHGPY","Q","2007-Q1",9.55723,
"IND","QGDP","TOT","PC_CHGPY","Q","2007-Q2",10.72776,
"IND","QGDP","TOT","PC_CHGPY","Q","2007-Q3",9.11082,
"IND","QGDP","TOT","PC_CHGPY","Q","2007-Q4",10.89759,
"IND","QGDP","TOT","PC_CHGPY","Q","2008-Q1",8.53763,
"IND","QGDP","TOT","PC_CHGPY","Q","2008-Q2",6.97469,
"IND","QGDP","TOT","PC_CHGPY","Q","2008-Q3",6.00342,
"IND","QGDP","TOT","PC_CHGPY","Q","2008-Q4",2.66643,
"IND","QGDP","TOT","PC_CHGPY","Q","2009-Q1",0.16417,
"IND","QGDP","TOT","PC_CHGPY","Q","2009-Q2",4.88253,
"IND","QGDP","TOT","PC_CHGPY","Q","2009-Q3",6.63314,
"IND","QGDP","TOT","PC_CHGPY","Q","2009-Q4",8.76762,
"IND","QGDP","TOT","PC_CHGPY","Q","2010-Q1",13.69472,
"IND","QGDP","TOT","PC_CHGPY","Q","2010-Q2",10.03996,
"IND","QGDP","TOT","PC_CHGPY","Q","2010-Q3",10.47141,
"IND","QGDP","TOT","PC_CHGPY","Q","2010-Q4",10.68164,
"IND","QGDP","TOT","PC_CHGPY","Q","2011-Q1",9.85151,
"IND","QGDP","TOT","PC_CHGPY","Q","2011-Q2",8.57399,
"IND","QGDP","TOT","PC_CHGPY","Q","2011-Q3",5.45264,
"IND","QGDP","TOT","PC_CHGPY","Q","2011-Q4",4.73924,
"IND","QGDP","TOT","PC_CHGPY","Q","2012-Q1",4.27646,
"IND","QGDP","TOT","PC_CHGPY","Q","2012-Q2",4.22103,
"IND","QGDP","TOT","PC_CHGPY","Q","2012-Q3",6.09487,
"IND","QGDP","TOT","PC_CHGPY","Q","2012-Q4",5.63359,
"IND","QGDP","TOT","PC_CHGPY","Q","2013-Q1",5.86099,
"IND","QGDP","TOT","PC_CHGPY","Q","2013-Q2",6.11874,
"IND","QGDP","TOT","PC_CHGPY","Q","2013-Q3",5.91755,
"IND","QGDP","TOT","PC_CHGPY","Q","2013-Q4",6.97852,
"IND","QGDP","TOT","PC_CHGPY","Q","2014-Q1",6.51421,
"IND","QGDP","TOT","PC_CHGPY","Q","2014-Q2",7.44278,
"IND","QGDP","TOT","PC_CHGPY","Q","2014-Q3",7.68087,
"IND","QGDP","TOT","PC_CHGPY","Q","2014-Q4",6.98087,
"IND","QGDP","TOT","PC_CHGPY","Q","2015-Q1",7.54184,
"IND","QGDP","TOT","PC_CHGPY","Q","2015-Q2",7.39431,
"IND","QGDP","TOT","PC_CHGPY","Q","2015-Q3",7.41543,
"IND","QGDP","TOT","PC_CHGPY","Q","2015-Q4",7.93386,
"IND","QGDP","TOT","PC_CHGPY","Q","2016-Q1",9.19265,
"IND","QGDP","TOT","PC_CHGPY","Q","2016-Q2",8.91219,
"IND","QGDP","TOT","PC_CHGPY","Q","2016-Q3",9.0638,
"IND","QGDP","TOT","PC_CHGPY","Q","2016-Q4",8.42943,
"IND","QGDP","TOT","PC_CHGPY","Q","2017-Q1",6.7052,
"IND","QGDP","TOT","PC_CHGPY","Q","2017-Q2",6.71459,
"IND","QGDP","TOT","PC_CHGPY","Q","2017-Q3",6.64854,
"IND","QGDP","TOT","PC_CHGPY","Q","2017-Q4",7.18077,
"IND","QGDP","TOT","PC_CHGPY","Q","2018-Q1",7.60795,
"IND","QGDP","TOT","PC_CHGPY","Q","2018-Q2",7.00642,
"IND","QGDP","TOT","PC_CHGPY","Q","2018-Q3",6.45324,
"IND","QGDP","TOT","PC_CHGPY","Q","2018-Q4",5.65305,
