Security,JGENVHUG Index                                                  ,
Start Date,12/31/2002 0:00,
End Date,1/29/2021 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_MID
1/29/2021,231.787,231.787
1/28/2021,231.679,231.679
1/27/2021,231.559,231.559
1/26/2021,231.579,231.579
1/25/2021,231.427,231.427
1/22/2021,231.367,231.367
1/21/2021,231.571,231.571
1/20/2021,231.499,231.499
1/19/2021,231.449,231.449
1/18/2021,231.395,231.395
1/15/2021,231.345,231.345
1/14/2021,231.351,231.351
1/13/2021,231.366,231.366
1/12/2021,231.276,231.276
1/11/2021,231.308,231.308
1/8/2021,231.682,231.682
1/7/2021,231.824,231.824
1/6/2021,232.272,232.272
1/5/2021,232.56,232.56
1/4/2021,232.687,232.687
1/1/2021,232.35,232.35
12/31/2020,232.34,232.34
12/30/2020,232.24,232.24
12/29/2020,232.266,232.266
12/28/2020,232.164,232.164
12/25/2020,232.221,232.221
12/24/2020,232.206,232.206
12/23/2020,232.213,232.213
12/22/2020,232.062,232.062
12/21/2020,231.973,231.973
12/18/2020,232.145,232.145
12/17/2020,231.85,231.85
12/16/2020,231.477,231.477
12/15/2020,231.182,231.182
12/14/2020,230.915,230.915
12/11/2020,230.829,230.829
12/10/2020,230.519,230.519
12/9/2020,230.504,230.504
12/8/2020,230.506,230.506
12/7/2020,230.354,230.354
12/4/2020,230.228,230.228
12/3/2020,230.142,230.142
12/2/2020,229.998,229.998
12/1/2020,229.94,229.94
11/30/2020,229.85,229.85
11/27/2020,229.852,229.852
11/26/2020,230.004,230.004
11/25/2020,229.895,229.895
11/24/2020,229.881,229.881
11/23/2020,229.757,229.757
11/20/2020,229.77,229.77
11/19/2020,229.733,229.733
11/18/2020,229.679,229.679
11/17/2020,229.618,229.618
11/16/2020,229.525,229.525
11/13/2020,229.331,229.331
11/12/2020,229.431,229.431
11/11/2020,229.415,229.415
11/10/2020,229.386,229.386
11/9/2020,229.806,229.806
11/6/2020,229.417,229.417
11/5/2020,228.971,228.971
11/4/2020,227.875,227.875
11/3/2020,227.487,227.487
11/2/2020,227.462,227.462
10/30/2020,227.609,227.609
10/29/2020,227.768,227.768
10/28/2020,227.792,227.792
10/27/2020,228.063,228.063
10/26/2020,228.028,228.028
10/23/2020,228.021,228.021
10/22/2020,228.031,228.031
10/21/2020,228.065,228.065
10/20/2020,228.066,228.066
10/19/2020,227.951,227.951
10/16/2020,227.793,227.793
10/15/2020,227.727,227.727
10/14/2020,227.803,227.803
10/13/2020,227.745,227.745
10/12/2020,227.676,227.676
10/9/2020,227.626,227.626
10/8/2020,227.392,227.392
10/7/2020,227.134,227.134
10/6/2020,227.105,227.105
10/5/2020,227.272,227.272
10/2/2020,227.234,227.234
10/1/2020,227.308,227.308
9/30/2020,227.253,227.253
9/29/2020,227.012,227.012
9/28/2020,227.259,227.259
9/25/2020,227.503,227.503
9/24/2020,227.488,227.488
9/23/2020,227.258,227.258
9/22/2020,227.484,227.484
9/21/2020,227.63,227.63
9/18/2020,227.932,227.932
9/17/2020,228.063,228.063
9/16/2020,227.98,227.98
9/15/2020,228.086,228.086
9/14/2020,227.962,227.962
9/11/2020,227.604,227.604
9/10/2020,227.474,227.474
9/9/2020,227.78,227.78
9/8/2020,227.573,227.573
9/7/2020,227.83,227.83
9/4/2020,227.823,227.823
9/3/2020,227.864,227.864
9/2/2020,227.808,227.808
9/1/2020,227.967,227.967
8/31/2020,227.465,227.465
8/28/2020,227.219,227.219
8/27/2020,227.269,227.269
8/26/2020,227.201,227.201
8/25/2020,227.543,227.543
8/24/2020,227.669,227.669
8/21/2020,227.709,227.709
8/20/2020,227.713,227.713
8/19/2020,227.769,227.769
8/18/2020,227.653,227.653
8/17/2020,227.413,227.413
8/14/2020,227.855,227.855
8/13/2020,227.754,227.754
8/12/2020,227.819,227.819
8/11/2020,228.018,228.018
8/10/2020,228.312,228.312
8/7/2020,228.466,228.466
8/6/2020,228.624,228.624
8/5/2020,228.672,228.672
8/4/2020,228.591,228.591
8/3/2020,228.567,228.567
7/31/2020,228.555,228.555
7/30/2020,228.454,228.454
7/29/2020,228.341,228.341
7/28/2020,228.513,228.513
7/27/2020,228.63,228.63
7/24/2020,228.381,228.381
7/23/2020,228.341,228.341
7/22/2020,228.035,228.035
7/21/2020,227.578,227.578
7/20/2020,227.221,227.221
7/17/2020,227.26,227.26
7/16/2020,227.219,227.219
7/15/2020,227.134,227.134
7/14/2020,227.108,227.108
7/13/2020,227.116,227.116
7/10/2020,227.117,227.117
7/9/2020,226.707,226.707
7/8/2020,226.443,226.443
7/7/2020,226.34,226.34
7/6/2020,226.563,226.563
7/3/2020,226.646,226.646
7/2/2020,226.947,226.947
7/1/2020,226.761,226.761
6/30/2020,226.729,226.729
6/29/2020,226.739,226.739
6/26/2020,226.698,226.698
6/25/2020,226.538,226.538
6/24/2020,226.384,226.384
6/23/2020,226.315,226.315
6/22/2020,226.306,226.306
6/19/2020,226.479,226.479
6/18/2020,225.883,225.883
6/17/2020,225.556,225.556
6/16/2020,225.498,225.498
6/15/2020,225.619,225.619
6/12/2020,225.749,225.749
6/11/2020,225.65,225.65
6/10/2020,225.666,225.666
6/9/2020,225.312,225.312
6/8/2020,225.142,225.142
6/5/2020,225.444,225.444
6/4/2020,226.303,226.303
6/3/2020,227.044,227.044
6/2/2020,226.816,226.816
6/1/2020,226.632,226.632
5/29/2020,226.463,226.463
5/28/2020,226.361,226.361
5/27/2020,226.16,226.16
5/26/2020,226.408,226.408
5/25/2020,225.947,225.947
5/22/2020,225.666,225.666
5/21/2020,225.903,225.903
5/20/2020,225.568,225.568
5/19/2020,224.802,224.802
5/18/2020,224.858,224.858
5/15/2020,224.087,224.087
5/14/2020,223.84,223.84
5/13/2020,223.802,223.802
5/12/2020,223.908,223.908
5/11/2020,223.583,223.583
5/8/2020,223.703,223.703
5/7/2020,222.834,222.834
5/6/2020,222.326,222.326
5/5/2020,222.169,222.169
5/4/2020,221.324,221.324
5/1/2020,221.422,221.422
4/30/2020,221.409,221.409
4/29/2020,221.023,221.023
4/28/2020,220.194,220.194
4/27/2020,219.686,219.686
4/24/2020,219.964,219.964
4/23/2020,220.582,220.582
4/22/2020,220.701,220.701
4/21/2020,220.408,220.408
4/20/2020,220.604,220.604
4/17/2020,219.917,219.917
4/16/2020,219.186,219.186
4/15/2020,218.667,218.667
4/14/2020,218.257,218.257
4/13/2020,217.051,217.051
4/10/2020,216.489,216.489
4/9/2020,216.433,216.433
4/8/2020,215.678,215.678
4/7/2020,215.458,215.458
4/6/2020,214.185,214.185
4/3/2020,214.108,214.108
4/2/2020,214.764,214.764
4/1/2020,215.126,215.126
3/31/2020,215.917,215.917
3/30/2020,215.113,215.113
3/27/2020,215.38,215.38
3/26/2020,215.05,215.05
3/25/2020,213.421,213.421
3/24/2020,211.338,211.338
3/23/2020,210.193,210.193
3/20/2020,211.11,211.11
3/19/2020,209.34,209.34
3/18/2020,210.586,210.586
3/17/2020,213.967,213.967
3/16/2020,213.513,213.513
3/13/2020,215.282,215.282
3/12/2020,215.213,215.213
3/11/2020,219.988,219.988
3/10/2020,222.16,222.16
3/9/2020,222.583,222.583
3/6/2020,223.741,223.741
3/5/2020,224.408,224.408
3/4/2020,224.884,224.884
3/3/2020,223.548,223.548
3/2/2020,222.328,222.328
2/28/2020,221.317,221.317
2/27/2020,222.519,222.519
2/26/2020,223.181,223.181
2/25/2020,223.244,223.244
2/24/2020,223.161,223.161
2/21/2020,223.162,223.162
2/20/2020,222.887,222.887
2/19/2020,222.895,222.895
2/18/2020,222.833,222.833
2/17/2020,222.679,222.679
2/14/2020,222.648,222.648
2/13/2020,222.332,222.332
2/12/2020,222.475,222.475
2/11/2020,222.394,222.394
2/10/2020,222.263,222.263
2/7/2020,222.154,222.154
2/6/2020,222.082,222.082
2/5/2020,221.987,221.987
2/4/2020,221.832,221.832
2/3/2020,221.779,221.779
1/31/2020,221.713,221.713
1/30/2020,221.572,221.572
1/29/2020,221.452,221.452
1/28/2020,221.054,221.054
1/27/2020,220.991,220.991
1/24/2020,221.196,221.196
1/23/2020,220.961,220.961
1/22/2020,220.847,220.847
1/21/2020,220.473,220.473
1/20/2020,220.277,220.277
1/17/2020,220.208,220.208
1/16/2020,220.167,220.167
1/15/2020,220.104,220.104
1/14/2020,219.961,219.961
1/13/2020,219.805,219.805
1/10/2020,219.997,219.997
1/9/2020,219.603,219.603
1/8/2020,219.496,219.496
1/7/2020,219.358,219.358
1/6/2020,219.412,219.412
1/3/2020,219.411,219.411
1/2/2020,219.332,219.332
1/1/2020,219.048,219.048
12/31/2019,219.049,219.049
12/30/2019,218.987,218.987
12/27/2019,219.033,219.033
12/26/2019,218.786,218.786
12/25/2019,218.712,218.712
12/24/2019,218.674,218.674
12/23/2019,218.489,218.489
12/20/2019,218.274,218.274
12/19/2019,218.171,218.171
12/18/2019,218.309,218.309
12/17/2019,218.233,218.233
12/16/2019,218.235,218.235
12/13/2019,218.275,218.275
12/12/2019,218.262,218.262
12/11/2019,218.094,218.094
12/10/2019,217.933,217.933
12/9/2019,217.95,217.95
12/6/2019,217.82,217.82
12/5/2019,217.568,217.568
12/4/2019,217.619,217.619
12/3/2019,217.283,217.283
12/2/2019,217.11,217.11
11/29/2019,217.442,217.442
11/28/2019,217.517,217.517
11/27/2019,217.524,217.524
11/26/2019,217.438,217.438
11/25/2019,217.503,217.503
11/22/2019,217.666,217.666
11/21/2019,217.826,217.826
11/20/2019,217.86,217.86
11/19/2019,217.829,217.829
11/18/2019,217.862,217.862
11/15/2019,217.921,217.921
11/14/2019,217.415,217.415
11/13/2019,217.33,217.33
11/12/2019,217.435,217.435
11/11/2019,217.989,217.989
11/8/2019,217.97,217.97
11/7/2019,218.195,218.195
11/6/2019,218.567,218.567
11/5/2019,218.583,218.583
11/4/2019,218.715,218.715
11/1/2019,218.499,218.499
10/31/2019,218.406,218.406
10/30/2019,218.252,218.252
10/29/2019,218.493,218.493
10/28/2019,218.666,218.666
10/25/2019,218.755,218.755
10/24/2019,218.566,218.566
10/23/2019,218.459,218.459
10/22/2019,218.073,218.073
10/21/2019,217.962,217.962
10/18/2019,218.077,218.077
10/17/2019,217.697,217.697
10/16/2019,217.648,217.648
10/15/2019,217.727,217.727
10/14/2019,217.855,217.855
10/11/2019,217.942,217.942
