Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,17.24,27.25,17.24,25.360001,25.360001,0
1990-02-01,24.870001,24.870001,19.709999,21.99,21.99,0
1990-03-01,21.9,22.74,17.620001,19.73,19.73,0
1990-04-01,22.84,24.16,17.73,19.52,19.52,0
1990-05-01,18.43,20.139999,16.719999,17.370001,17.370001,0
1990-06-01,17.09,19.360001,14.72,15.5,15.5,0
1990-07-01,16.26,23.68,15.63,21.110001,21.110001,0
1990-08-01,21.639999,36.470001,20.43,29.9,29.9,0
1990-09-01,29.58,30.559999,27.879999,29.110001,29.110001,0
1990-10-01,28.059999,33.98,27.27,30.040001,30.040001,0
1990-11-01,30.25,30.870001,20.09,22.16,22.16,0
1990-12-01,22.290001,26.379999,20.940001,26.379999,26.379999,0
1991-01-01,26.620001,36.200001,20.91,20.91,20.91,0
1991-02-01,21.040001,23.6,19.57,21.23,21.23,0
1991-03-01,21.23,21.23,14.9,16.879999,16.879999,0
1991-04-01,17.42,20.120001,15.47,18.24,18.24,0
1991-05-01,17.77,18.379999,15.23,15.93,15.93,0
1991-06-01,16.870001,19.549999,15.5,19.549999,19.549999,0
1991-07-01,18.639999,20.290001,15.18,15.18,15.18,0
1991-08-01,15.47,21.190001,14.41,14.46,14.46,0
1991-09-01,16.57,18.219999,15.35,15.85,15.85,0
1991-10-01,14.81,18.58,14.81,15.48,15.48,0
1991-11-01,15.6,21.92,13.95,20.26,20.26,0
1991-12-01,20.18,20.57,15.44,19.309999,19.309999,0
1992-01-01,19.690001,20.299999,14.12,17.4,17.4,0
1992-02-01,17.08,19.309999,15.34,16.68,16.68,0
1992-03-01,17.440001,21.059999,15.46,16.18,16.18,0
1992-04-01,16.93,21.440001,14.83,15.53,15.53,0
1992-05-01,14.87,17.76,12.77,13.86,13.86,0
1992-06-01,14.47,18.530001,12.73,13.35,13.35,0
1992-07-01,13.43,16.360001,11.36,13.17,13.17,0
1992-08-01,14.05,16.52,12.34,13.58,13.58,0
1992-09-01,11.87,15.42,10.69,14.28,14.28,0
1992-10-01,15.44,25.129999,15.03,16.15,16.15,0
1992-11-01,17.02,17.92,11.38,13.01,13.01,0
1992-12-01,12.94,13.89,10.29,12.57,12.57,0
1993-01-01,12.96,15.06,10.98,12.42,12.42,0
1993-02-01,12.51,16.65,11.69,13.16,13.16,0
1993-03-01,13.13,16.370001,10.66,12.53,12.53,0
1993-04-01,13.04,15.45,10.71,12.42,12.42,0
1993-05-01,13.25,15.11,11.96,13.47,13.47,0
1993-06-01,13.64,15.88,10.86,11.26,11.26,0
1993-07-01,10.49,14.37,9.11,11.73,11.73,0
1993-08-01,11.81,13.25,10.8,11.85,11.85,0
1993-09-01,11.3,18.309999,10.75,12.99,12.99,0
1993-10-01,12.56,14.79,10,11.46,11.46,0
1993-11-01,12.02,16.459999,11.49,13.76,13.76,0
1993-12-01,12.93,14.76,8.89,11.66,11.66,0
1994-01-01,11.28,13.42,9.59,10.63,10.63,0
1994-02-01,10.81,16.309999,10.21,14.87,14.87,0
1994-03-01,12.58,21.940001,11.58,20.450001,20.450001,0
1994-04-01,23.610001,28.299999,13.05,13.77,13.77,0
1994-05-01,14.42,16.65,11.44,13.03,13.03,0
1994-06-01,13.16,17.709999,10.48,14.97,14.97,0
1994-07-01,14.89,15.63,10.96,11.13,11.13,0
1994-08-01,11.71,13.34,10.75,11.97,11.97,0
1994-09-01,12.17,16.08,11.17,14.28,14.28,0
1994-10-01,15.69,17.219999,12.75,14.56,14.56,0
1994-11-01,14.61,19.57,14.32,15.95,15.95,0
1994-12-01,15.49,18.16,11.36,13.2,13.2,0
1995-01-01,14.09,14.71,10.76,11.96,11.96,0
1995-02-01,11.74,13.01,10.51,11.75,11.75,0
1995-03-01,11.49,14.77,10.79,13.37,13.37,0
1995-04-01,12.52,14.48,10.95,11.75,11.75,0
1995-05-01,11.21,13.6,10.08,12.85,12.85,0
1995-06-01,12.16,14.05,10.36,11.38,11.38,0
1995-07-01,11.36,15.26,10.92,13.49,13.49,0
1995-08-01,13.44,14.49,11.36,11.52,11.52,0
