Date,PX_LAST
8/19/20,72.3149
8/18/20,72.4739
8/17/20,72.0179
8/14/20,70.8064
8/13/20,70.8373
8/12/20,70.2701
8/11/20,69.8914
8/10/20,70.9032
8/7/20,70.4501
8/6/20,71.3393
8/5/20,71.1918
8/4/20,70.5438
8/3/20,69.9049
7/31/20,68.6767
7/30/20,68.2531
7/29/20,68.9933
7/28/20,68.531
7/27/20,68.5025
7/24/20,68.1503
7/23/20,68.1245
7/22/20,67.7392
7/21/20,67.2868
7/20/20,66.3101
7/17/20,66.4947
7/16/20,66.4732
7/15/20,66.6653
7/14/20,66.176
7/13/20,66.4895
7/10/20,66.636
7/9/20,66.3463
7/8/20,66.7927
7/7/20,66.5414
7/6/20,66.1801
7/2/20,65.6325
7/1/20,65.1837
6/30/20,64.9762
6/29/20,64.2432
6/26/20,63.2194
6/25/20,63.4476
6/24/20,63.7083
6/23/20,64.7104
6/22/20,64.832
6/19/20,64.5736
6/18/20,64.1194
6/17/20,64.0727
6/16/20,63.9419
6/15/20,63.6461
6/12/20,63.7057
6/11/20,64.0925
6/10/20,65.0033
6/9/20,64.7268
6/8/20,64.6415
6/5/20,64.6941
6/4/20,64.3526
6/3/20,63.9011
6/2/20,63.7825
6/1/20,63.5116
5/29/20,63.5353
5/28/20,62.7703
5/27/20,62.6696
5/26/20,63.3501
5/22/20,62.74
5/21/20,63.0139
5/20/20,63.6046
5/19/20,63.2376
5/18/20,63.028
5/15/20,61.659
5/14/20,61.2871
5/13/20,60.6226
5/12/20,61.5521
5/11/20,61.7826
5/8/20,62.32
5/7/20,61.9955
5/6/20,61.4607
5/5/20,62.3085
5/4/20,60.9709
5/1/20,60.7066
4/30/20,60.8983
4/29/20,59.8758
4/28/20,59.6414
4/27/20,59.5528
4/24/20,60.2394
4/23/20,60.7754
4/22/20,60.6816
4/21/20,59.5078
4/20/20,61.978
4/17/20,62.0936
4/16/20,62.0546
4/15/20,61.9659
4/14/20,63.0517
4/13/20,63.3847
4/9/20,63.4759
4/8/20,63.1471
4/7/20,63.2193
4/6/20,62.818
4/3/20,62.1957
4/2/20,61.5486
4/1/20,60.2898
3/31/20,61.8577
3/30/20,62.0639
3/27/20,62.7145
3/26/20,63.3252
3/25/20,63.9846
3/24/20,63.7663
3/23/20,62.0083
3/20/20,61.0998
3/19/20,61.4271
3/18/20,59.4795
3/17/20,62.0086
3/16/20,62.5747
3/13/20,65.3051
3/12/20,66.1642
3/11/20,68.3
3/10/20,69.2967
3/9/20,67.8483
3/6/20,70.7933
3/5/20,72.6831
3/4/20,73.2289
3/3/20,73.1911
3/2/20,72.4728
2/28/20,70.9799
2/27/20,72.5776
2/26/20,73.6315
2/25/20,74.2102
2/24/20,74.9013
2/21/20,76.2509
2/20/20,76.2138
2/19/20,76.5688
2/18/20,76.1062
2/14/20,75.3841
2/13/20,75.3197
2/12/20,75.1566
2/11/20,74.3843
2/10/20,74.1987
2/7/20,74.755
2/6/20,74.9629
2/5/20,74.7409
2/4/20,74.1003
2/3/20,74.0774
1/31/20,74.8374
1/30/20,75.1402
1/29/20,75.8597
1/28/20,76.3192
1/27/20,76.2333
1/24/20,77.3191
1/23/20,78.2283
1/22/20,78.6737
1/21/20,79.2079
1/17/20,79.817
1/16/20,79.6115
1/15/20,80.0304
1/14/20,80.3484
1/13/20,80.2913
1/10/20,80.7052
1/9/20,80.4546
1/8/20,80.5801
1/7/20,81.5737
1/6/20,81.643
1/3/20,81.3663
1/2/20,81.0008
12/31/19,80.8871
12/30/19,81.392
12/27/19,81.3512
12/26/19,81.2675
12/24/19,80.6645
12/23/19,80.2219
12/20/19,80.3939
12/19/19,80.3466
12/18/19,80.1387
12/17/19,80.293
12/16/19,80.1912
12/13/19,79.4136
12/12/19,79.0736
12/11/19,78.3297
12/10/19,78.5158
12/9/19,78.1409
12/6/19,78.2393
12/5/19,78.11
12/4/19,77.8463
12/3/19,77.3437
12/2/19,77.1353
11/29/19,77.1108
11/27/19,78.3376
11/26/19,78.6606
11/25/19,78.5582
11/22/19,78.7265
11/21/19,78.6081
11/20/19,78.2804
11/19/19,77.8584
11/18/19,78.3215
11/15/19,79.0884
11/14/19,78.9189
11/13/19,78.9618
11/12/19,79.0303
11/11/19,79.0293
11/8/19,79.9057
11/7/19,80.0187
11/6/19,80.1525
11/5/19,80.7201
11/4/19,80.6335
11/1/19,80.2596
10/31/19,79.2367
10/30/19,79.5986
10/29/19,79.6003
10/28/19,79.4811
10/25/19,79.4979
10/24/19,79.3472
10/23/19,79.0092
10/22/19,78.4737
10/21/19,78.2463
10/18/19,78.6672
10/17/19,78.5809
10/16/19,78.3348
10/15/19,78.4063
10/14/19,78.5847
10/11/19,78.8301
10/10/19,77.9441
10/9/19,77.9236
10/8/19,77.8811
10/7/19,77.7125
10/4/19,77.9329
10/3/19,77.7387
10/2/19,77.5202
10/1/19,77.8662
9/30/19,77.7797
9/27/19,78.34
9/26/19,78.6349
9/25/19,78.9079
9/24/19,79.3596
9/23/19,79.8663
9/20/19,79.1971
9/19/19,79.3975
9/18/19,79.5077
9/17/19,79.8979
9/16/19,81.3979
9/13/19,78.6973
9/12/19,78.5686
9/11/19,78.205
9/10/19,78.7577
9/9/19,78.451
9/6/19,77.8857
9/5/19,78.0326
9/4/19,78.4199
9/3/19,77.0083
8/30/19,77.0044
8/29/19,77.4875
8/28/19,77.1685
8/27/19,76.5842
8/26/19,76.3498
8/23/19,76.0653
8/22/19,76.4193
8/21/19,76.798
8/20/19,76.6926
8/19/19,76.6591
8/16/19,76.7728
8/15/19,76.7023
8/14/19,76.8568
8/13/19,77.589
8/12/19,76.825
8/9/19,77.4239
8/8/19,77.0403
8/7/19,75.9747
8/6/19,76.4699
8/5/19,76.7648
8/2/19,77.2259
8/1/19,77.0081
7/31/19,78.9631
7/30/19,79.0834
7/29/19,79.0108
7/26/19,78.7409
7/25/19,78.9962
7/24/19,79.3244
7/23/19,79.4026
7/22/19,79.171
7/19/19,79.3793
7/18/19,78.9159
7/17/19,79.5778
7/16/19,79.6459
7/15/19,80.5539
7/12/19,81.0222
7/11/19,80.5555
7/10/19,80.5401
7/9/19,79.1321
7/8/19,79.0247
7/5/19,79.1142
7/3/19,79.1968
7/2/19,78.0716
7/1/19,79.0432
6/28/19,79.653
6/27/19,80.186
6/26/19,80.1435
6/25/19,79.8384
6/24/19,79.4779
6/21/19,78.8373
6/20/19,79.1627
6/19/19,77.7705
6/18/19,78.2444
6/17/19,77.7867
6/14/19,77.8285
6/13/19,77.6085
6/12/19,77.0809
6/11/19,77.4684
6/10/19,77.0245
6/7/19,77.148
6/6/19,77.1058
6/5/19,76.4862
6/4/19,77.7057
6/3/19,77.4592
5/31/19,77.7043
5/30/19,79.0979
5/29/19,79.3883
5/28/19,79.3859
5/24/19,78.7052
5/23/19,77.9647
5/22/19,78.9523
5/21/19,79.7764
5/20/19,79.9291
5/17/19,79.7043
5/16/19,80.303
5/15/19,79.6536
5/14/19,79.3386
5/13/19,78.3414
5/10/19,78.6618
5/9/19,78.56
5/8/19,79.0004
5/7/19,78.9692
5/6/19,79.4748
5/3/19,79.8386
5/2/19,79.6998
5/1/19,80.4241
4/30/19,80.5738
4/29/19,80.5356
4/26/19,80.7614
4/25/19,81.2183
4/24/19,81.4341
4/23/19,81.6437
4/22/19,81.9569
4/18/19,81.7063
4/17/19,81.6612
4/16/19,81.9654
4/15/19,82.3236
4/12/19,82.7086
4/11/19,82.2361
4/10/19,83.0616
4/9/19,82.6223
4/8/19,82.7739
4/5/19,82.3702
4/4/19,82.2323
4/3/19,82.1833
4/2/19,81.8613
4/1/19,81.6727
3/29/19,81.0872
3/28/19,81.0873
3/27/19,81.5642
3/26/19,81.9936
3/25/19,81.9158
3/22/19,81.7507
3/21/19,82.3473
3/20/19,82.3797
3/19/19,82.093
3/18/19,81.8765
3/15/19,81.5838
3/14/19,81.3474
3/13/19,81.5304
3/12/19,80.8615
3/11/19,80.2569
3/8/19,80.4667
3/7/19,80.52
3/6/19,80.7408
3/5/19,81.1937
3/4/19,80.8184
3/1/19,80.966
2/28/19,81.3904
2/27/19,81.6096
2/26/19,81.2074
2/25/19,81.301
2/22/19,82.1246
2/21/19,81.7878
2/20/19,81.6821
2/19/19,81.2942
2/15/19,80.9569
2/14/19,79.9611
2/13/19,80.1641
2/12/19,80.0973
2/11/19,79.6555
2/8/19,80.0655
2/7/19,80.0391
2/6/19,80.9856
2/5/19,80.8806
2/4/19,81.1004
2/1/19,80.965
1/31/19,80.7252
1/30/19,80.8822
1/29/19,80.5004
1/28/19,79.8671
1/25/19,81.0693
1/24/19,80.2096
1/23/19,80.0749
1/22/19,80.0891
1/18/19,81.3791
1/17/19,80.4502
1/16/19,80.2592
1/15/19,80.1043
1/14/19,79.9021
1/11/19,79.6614
1/10/19,79.489
1/9/19,79.9122
1/8/19,78.9489
1/7/19,78.5743
1/4/19,78.3352
1/3/19,77.4544
1/2/19,76.9851
12/31/18,76.7154
12/28/18,77.5922
12/27/18,77.8029
12/26/18,78.2144
12/24/18,77.2127
12/21/18,78.6952
12/20/18,78.8092
12/19/18,79.9565
12/18/18,79.6797
12/17/18,80.2648
12/14/18,81.2656
12/13/18,82.5144
12/12/18,82.1853
12/11/18,82.6215
12/10/18,82.7296
12/7/18,83.4889
12/6/18,82.2713
12/5/18,83.3596
12/4/18,83.4006
12/3/18,82.956
11/30/18,82.5607
11/29/18,82.6354
11/28/18,82.466
11/27/18,81.1393
11/26/18,81.4579
11/23/18,81.4831
11/21/18,83.3654
11/20/18,82.9904
11/19/18,84.8291
11/16/18,83.9124
11/15/18,82.8529
11/14/18,84.7271
11/13/18,82.446
11/12/18,83.048
11/9/18,82.8946
11/8/18,83.2718
11/7/18,83.7257
11/6/18,83.6683
11/5/18,84.1979
11/2/18,83.8847
11/1/18,83.5847
10/31/18,83.1903
10/30/18,83.5825
10/29/18,84.3968
10/26/18,84.9968
10/25/18,84.6247
10/24/18,84.7937
10/23/18,85.1445
10/22/18,85.7791
10/19/18,85.9472
10/18/18,85.7479
10/17/18,86.7024
10/16/18,87.0263
10/15/18,87.1261
10/12/18,86.2351
10/11/18,85.9238
10/10/18,86.3888
10/9/18,87.2356
10/8/18,86.9255
10/5/18,86.8993
10/4/18,86.7897
10/3/18,87.6762
10/2/18,87.1491
10/1/18,86.3638
9/28/18,85.201
9/27/18,84.7532
9/26/18,84.6968
9/25/18,85.0843
9/24/18,84.8516
9/21/18,84.4025
9/20/18,83.882
9/19/18,83.3624
9/18/18,82.7356
9/17/18,82.1393
9/14/18,82.4586
9/13/18,82.7206
9/12/18,83.4708
9/11/18,82.9778
9/10/18,82.9329
9/7/18,82.5853
9/6/18,82.4301
9/5/18,82.6974
9/4/18,83.1276
8/31/18,83.736
8/30/18,83.6155
8/29/18,83.8224
8/28/18,83.3627
8/27/18,83.7612
8/24/18,83.6904
8/23/18,83.1093
8/22/18,83.5908
8/21/18,83.4426
8/20/18,83.328
8/17/18,83.3457
8/16/18,83.0114
8/15/18,82.1694
8/14/18,83.771
8/13/18,83.5408
8/10/18,84.2307
8/9/18,84.8891
8/8/18,85.1261
8/7/18,85.4817
8/6/18,85.0631
8/3/18,84.8999
