Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
CPAUSM,Australia Consumer Price Index Inflation Rate,Consumer Price Indices,Australia Dollar,Australia,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1861 To Dec 1911<BR>Quarterly From Mar 1912 To Mar 2020<BR>,"Sources: Australian Bureau of Statistics (1861-1920) League of Nations (1920-1945); Australian Bureau of Statistics, Digest of Current Economic Statistics, (1946-) <br />Notes: Data are annual from 1861 through 1911, and quarterly from 1912 through 1921.  Australia only provides a quarterly CPI.  No monthly data are available. The CPI (1989/90=100) is designed to provide a general measure of price inflation for the household sector. The index covers price movements of consumer goods and services purchased by all metropolitan private households. This group, which is termed ""the CPI population group"" includes a wide variety of subgroups, such as wage and salary earners, the self-employed, age pensioners, and social welfare beneficiaries. The current CPI population group represents about 64% of all Australian private households.The cities covered are Sydney, Melbourne, Brisbane, Adelaide, Perth, Hobart, Darwin, and Canberra.  The CPI is a modified Laspeyres index constructed using the acquisitions approach, which defines the CPI basket as consisting of all those consumer goods and services actually acquired by households during the base period. It is a measure of transaction prices, that is, the prices actually paid by consumers for the goods and services they buy, and is not concerned with recommended, nominal or list prices. The CPI basket is divided into 11 major commodity groups: food; alcohol and tobacco; clothing and footwear; housing; household furnishings, supplies and services; health; transportation; communication; recreation; education and miscellaneous. These groups are divided in turn into 89 expenditure classes. Approximately 100,000 price quotations are collected per quarter from about 4,500 respondents.   Prices of most items in the regimen are collected at least once each quarter. Some are collected more frequently and a small number are collected only once a year. The general approach is to price each item as frequently as is necessary to ensure that reliable measures of quarterly price change can be calculated. The majority of items are priced once each quarter, at the same time each quarter, on the assumption that quarterly price movements are adequately represented by movements between two dates three months apart. However, there are some items for which prices generally change by substantial amounts at frequent intervals. In those cases, prices are collected once each month, at the same time each month. Examples where this approach is used are fresh food and new motor vehicles. Finally, a small number of items such as local government rates and charges, whose prices are known to be set once each year are collected annually. The current series was introduced in the September quarter, 2000 (largely based on 1998/99 Household Expenditure Survey data). The index is re-based approximately once every nine years and the weights are revised approximately every five to six years.  The data are not seasonally adjusted.",,
CPAUTM,Austria Consumer Price Index Inflation Rate,Consumer Price Indices,Austria Schilling (Euro from 01/01/1999),Austria,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1863 To Oct 1918<BR>Monthly From Nov 1918 To Jul 2020<BR>,"Sources: Austro-Hungarian data are from Jobst and Scheiber (2014: series AH5A_A). Statistical Office, Statistische Nachrichten, Dec. 1923, p. 195 and subsequent issues (1914-) Notes: Data are semi-annual through 1919, quarterly for 1920, and monthly beginning in 1921. No data are available for April 1938 through December 1943.  Annual data are given for January 1944 through June 1946.  The CPI is for Vienna through March 1959 and for all of Austria starting in April 1959. The VPI (the Austrian CPI) is defined as a fixed base Laspeyres index (2000=100). Prices for 812 commodities are collected in some 4,000 outlets in the 20 largest Austrian cities. The reference day is the Wednesday between the 6th and the 12th of each month. The number of prices collected monthly is 40,000. The number of rent prices collected quarterly, in a separate survey (Mikrozensus), is 15,000.   Weights are derived from a family budget survey, which is carried out every five years, in combination with national accounts data on national household consumption within the economic territory. The latest weight period is 1999/2000.   All published data relate to all Austria. A revision of the CPI basket and the extension of the HICP took place in 2000. The CPI relates to Household Final Monetary Consumption Expenditure (HFMCE) as applied for the HICP in the EU plus the monetary expenditure for investments in the owner occupied house, but not the acquisition of the house itself.  The data are not seasonally adjusted.",,Split adjusted.
CPBELM,Belgium Consumer Price Index Inflation Rate,Consumer Price Indices,Belgium Franc (Euro from 01/01/1999),Belgium,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1462 To Jan 1920<BR>Monthly From Feb 1920 To Aug 2020<BR>,"Data from 1462 to 1839 uses Allen, Robert,n.d., Consumer Price Indices, Nominal/Real Wages of Building Craftsmen and Laborers, 1260-1913, Oxford: Oxford University. At http://www.iisg.nl/hpw/data.php#netherlands. The inflation rate in France from 1913 to 1920 is used as a proxy for Belgian inflation between 1913 and 1920. The yearbooks of the League of Nations and The United Nations from 1914 on for monthly data and Eurostat currently.",,
CPBRAM,Brazil Consumer Price Index Inflation Rate,Consumer Price Indices,Brazil Real,Brazil,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1830 To Dec 1934<BR>Quarterly From Mar 1935 To Oct 1936<BR>Monthly From Nov 1936 To Aug 2020<BR>,"Sources: Getulio Vargas Foundation, Conjuntura Economica (1938-)Notes: Data are annual from 1938 to 1943. Because of Brazil's hyperinflation, data prior to 01/01/1985 and 01/01/1992 have been multiplied by 1,000,000 to avoid rounding off problems.  Data are disseminated on the producer price index (ÃƒÂndice de PreÃƒÂ§os por Atacado (IPA) (August/94 = 100), which is an economic indicator that has been disseminated since 1944. It is the main component of a general price index (ÃƒÂndice Geral de PreÃƒÂ§os (IGP-DI). The index is structured to measure the rate of change of prices of a sample of merchandise at the wholesale level in business to business transactions in the following productive areas of the country: Alagoas, Amazonas, Bahia, CearÃƒÂ¡, EspÃƒÂ­rito Santo, GoiÃƒÂ¡s, MaranhÃƒÂ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÃƒÂ¡, ParaÃƒÂ­ba, PanarÃƒÂ¡, Pernambuco, PiauÃƒÂ­, Rio de Janerio, Rio Grande do Norte, Rio Grande do Sul, RondÃƒÂ´nia, Santa Catarina, Sergipe, SÃƒÂ£o Paulo e Tocantis. The price survey of 1,651 establishments that is conducted monthly provides about 16,000 quotations. A Laspeyres formula is used to calculate the index, and it is not seasonally adjusted. There are 462 commodities/products covered by the index and the nature of prices includes taxes and duties when applicable on them. The weights are monthly revised due to changes in the relative ponderation of the components of the index. The index is disseminated monthly at a press conference held in accordance with a specific calendar.",,Split adjusted.
CPCANM,Canada Consumer Price Index Inflation Rate,Consumer Price Indices,Canada Dollar,Canada,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1761 To Dec 1913<BR>Monthly From Jan 1914 To Aug 2020<BR>,"Source: Dominion Bureau of Statistics, Canada Yearbook, Ottawa: Dominion Bureau of Statistics (1915-1930), League of Nations (1931-1945); Statistics Canada, Canadian Statistical Review (1946-) <br />Notes: Data from 1762 to 1910 are from Paquet and Wallot (1998: 317-320)<br />Data are annual for 1910-1914, and quarterly for 1918.  All other data are monthly. The Consumer Price Index for Canada (1992=100) measures price changes at the retail level, sales taxes included. The index is a Laspeyres-type index and is constructed as a chain of fixed-basket indices, linked every four years, as a rule.  Prices are obtained from special surveys providing, on average, 60,000 monthly price quotes for about 600 representative commodities. The prices are collected in 15 to 76 locations depending on the price behaviors of the specific commodity, from approximately 7,000 outlets, and are collected mostly over the first three weeks of the month. The index covers all provinces of Canada, and the territorial cities of Whitehorse, Yellowknife and Iqaluit. The target population consists of families and individuals living in urban and rural private households. Persons living in collective households and on Indian reserves, officials representing foreign countries, and residents of the Yukon, Northwest Territories and Nunavut outside Whitehorse,Yellowknife and Iqaluit are excluded from the survey.  The weights are derived from the 2001 Survey of Household Spending. Weights are generally revised every 4 years and the index is re-based approximately every 10 years. The data for the overall index (All-items), as well as certain more disaggregated indices, are seasonally-adjusted.",,
CPCHLM,Chile Consumer Price Index Inflation Rate,Consumer Price Indices,Chile Peso,Chile,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1750 To Dec 1922<BR>Monthly From Jan 1923 To Feb 2020<BR>,"Garner, Richard (2007), ""Late Colonial Prices in Selected Latin American Cities."" Working Memorandum. Available at https://home.comcast.net/~richardgarner04/datafiles.html is used from 1750 to 1808.  No inflation is assumed between 1808 and 1812. Diaz, Jose B., Rolf Luders, and Gert Wagner (2005),""Chile: 1810-2000, La Republica en Cifras,"" Instituto de Economia, Pontificia Universidad Catolica de Chile, is used from 1812 to 1913 and Banco Central de Chile, Bulletin Mensual, is used from 1914 on.",,Split adjusted.
CPCOLM,Colombia Consumer Price Index Inflation Rate,Consumer Price Indices,Colombia Peso,Colombia,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1862 To Dec 1928<BR>Monthly From Jan 1929 To Aug 2020<BR>,"Williamson, Jeffrey, (1999), ""Real Wages, Factor Price, and Globalization in Latin America before 1940,"" Revista de Historia Economica 17, 101-142 is used from 1862 to 1940. Monthly data are from the League of Nations, United Nations Yearbooks and Banco de la Republica Columbia.",,Split adjusted.
CPCZEM,Czech Republic Consumer Price Index Inflation Rate,Consumer Price Indices,Czech Republic Koruna,Czech Republic,,,,,,,Index Number,Units,Stock,none,Annual From Jul 1914 To Jan 1921<BR>Monthly From Feb 1921 To Aug 2020<BR>,"Sources: League of Nations (1933-1945); United Nations (1946-48); Federal Statistical Office, Monthly Bulletin Notes:  No data available for September through December 1939, July through December 1942, March through September 1944, and August 1948 through December 1962.  Data are quarterly from 1963 through June 1994. Data are disseminated on the Consumer Price Index (two base years: December 1999=100 and Average 2000=100), a modified Laspeyres index. The index that takes average 1995=100 is also calculated. The index covers the entire country, both urban and rural areas.  Since 2001, the CPI has covered some 790 selected representative items.  Approximately 90,000 price quotes are collected from about 10,000 selected shops. Every representative item is surveyed at 1-16 shops, according to the size of a municipality, and in total. Prices are collected once a month, between the 1st and the 20th calendar day of the reference month, and include taxes.   The weights are based on household expenditures as measured by family budget statistics for 1999. Indices are compiled for the aggregate CPI (households in total), as well as for the following indices: households of employees; households of pensioners; low income households with children and households living in Prague. The weights for the aggregate CPI are based on the structure of the average expenditures for all households. The weights for the other CPI are based on the structure of expenditures of a given social or regional group of households.  A comprehensive revision of the indices is made approximately every 5 years. At the time of the last revision in 2000, the sample of price items, the sample of shops, and the weighting pattern were revised, and a breakdown according to COICOP was introduced. At the same time, the base year of the index was changed to December 1999.   The main CPI data are not seasonally adjusted, but the aggregate data published are seasonally adjusted with CPI (preceding month = 100).",,
CPDNKM,Denmark Consumer Price Index Inflation Rate,Consumer Price Indices,Denmark Krone,Denmark,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1502 To Dec 1914<BR>Quarterly From Mar 1915 To Dec 1966<BR>Monthly From Jan 1967 To Aug 2020<BR>,"Sources: B. R. Mitchell, European Historical Statistics, 1750-1975, New York: Facts on File, 1980 (1815-1914), Statistiske Department, Statistisk Arbog, Copenhagen: Statistiske Dept. (1914-1920), League of Nations (1921-1945); Statistiske Department, Statistiske Efterretninger (1946-) <br />Notes: Data from 1502 to 1876 are from Abildgren (2009: 23-25; 2010: Data for Essay 10, 10.2 spreadsheet). Data are annual for 1876 through 1914, semi-annual for 1914-1926, quarterly 1927-1966, and monthly beginning in 1967. The CPI is a Laspeyres-type index (weight base = 1999, prices = 100 in 2000). The weights are based on a 1999 household budget survey combined with the weights of the consumer groups in the national accounts. Prices are collected monthly or with less frequency for particular goods and services whose prices are known to change less frequently. using a stratified sample of the whole country. 25,000 prices are collected every month in approximately 2,000 outlets.   <br /> <br />The data are not seasonally adjusted.",,
CPEGYM,Egypt Consumer Price Index Inflation Rate,Consumer Price Indices,Egypt Pound,Egypt,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1895 To Dec 1920<BR>Monthly From Jan 1921 To Aug 2020<BR>,"Williamson, Jeffrey, (2000). “Factor Prices around the Mediterranean, 1500—1940.” In The Mediterranean Response to Globalization before 1950, ed. S. Pamuk and J. G. Williamson. London: Routledge. Pp. 45—75. is used from 1859 to 1894, Russell, International Historical Statistics is used from 1895 to 1920 and monthly data are from League of Nations and United Nations, Monthly Statisical Bulletins.",,
CPFINM,Finland Consumer Price Index Inflation Rate,Consumer Price Indices,Finland Markka (Euro from 01/01/1999),Finland,,,,,,,Index Number,Units,Stock,none,Annual From Jul 1913 To Jan 1920<BR>Monthly From Feb 1920 To Aug 2020<BR>,"Sources: League of Nations (1920-1945); Central Statistical Office, Bulletin of Statistics (1946-) Notes: Data are disseminated on the consumer price index, a fixed base Laspeyres index (2000=100). The index covers the final household monetary consumption expenditure in the territory of Finland. The geographic coverage is the  whole country and all socio-economic groups. The index covers explicitly some 700 sub-categories (products) for which about 50,000 price observations are collected every month. In addition to CPI data collection, data from systems of house price- and rental statistics are used as a part of the CPI as well.  The index weights have been derived from the National Accounts. The CPI is re-based every 5 years. The data are not seasonally adjusted.",,
CPFRAM,France Consumer Price Index Inflation Rate,Consumer Price Indices,France Franc (Euro from 01/01/1999),France,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1386 To Dec 1914<BR>Monthly From Jan 1915 To Aug 2020<BR>,"Data from 1431 to 1839 uses Allen, Robert,n.d., Consumer Price Indices, Nominal/Real Wages of Building Craftsmen and Laborers, 1260-1913, Oxford: Oxford University. At http://www.iisg.nl/hpw/data.php#netherlands. The Annuaire Statistique de la France is used from 1840 to 1913 for annual data, and the yearbooks of the League of Nations and The United Nations from 1914 on for monthly data. The conversion rate between the French Assignats and the French Franc is used as a proxy for inflation between 1789 and 1796.  See XRFRFAM.",,Split adjusted.
CPDEUM,Germany Consumer Price Index Inflation Rate,Consumer Price Indices,Germany Deutschemark (Euro from 01/01/1999),Germany,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1325 To Dec 1869<BR>Monthly From Jan 1870 To Aug 2020<BR>,"Sources: B. R. Mitchell, European Historical Statistics, 1750-1975, New York: Facts on File, 1980 (1820-1912), Richard Calwer, Monatliche Ubersichten uber Lebensmittelpreise, Berlin, (1913-1919), League of Nations (1920-1945); Bayerischen Statistician Landesamt, Bayern in Zahlen, Munchen: Bayerisches Statistisches Landesamt (1945-1948) Bundesamt, Wirtschaft und Statistik (1948-) Notes: Data are annual for 1820 to 1869.  Germany's official CPI began in February 1920, but prior to that a consumer price index calculated by Gielen is used. Also available is an index of the average level of foodstuff prices in 200 German cities is available (in CPDEUCFM).  See Richard Calwer, Monatliche Ubersichten uber Lebensmittelpreise, Berlin, 1913ff., as cited in Gerhard Bry, Wages in Germany 1871-1945, Princeton, 1960) 440-445. The base is July 1914 = 100.   Prices stabilized in December 1923, and a new series in gold Reichsmark was introduced.  The series are allowed to overlap for comparison.  The official German CPI series continued until February 1945 when it was halted.  The data for March 1945 through June 1948 is from Munich where a CPI index used the old 1913/14=100 gold marks base.  In July 1948 the Bundesamt once again began calculating an official CPI Index for the entire country, and this index is used currently.   Data are disseminated on the CPI, a Laspeyres price index (2000=100) which covers all population groups and all regions of the Federal Republic of Germany.The index is updated by collecting a sample of approximately 350,000 prices for approximately 750 commodities, collected from approximately 40,000 retail outlets in 190 municipalities throughout Germany. The prices are collected in the middle of the month.  The weights used in the index are based on surveys of household expenditure on goods and services, and are revised at five-yearly intervals. The next price base year of the index will be 2005. ne consumer price index is computed for Germany overall. In addition, consumer price indices are available for many federal states. Since January 1997, price changes are also measured monthly by the HICP (Harmonized Index of Consumer Prices) which is computed for European purposes.",,Split adjusted.
CPGRCM,Greece Consumer Price Index Inflation Rate,Consumer Price Indices,Greece Drachma (Euro from 01/01/2001),Greece,,,,,,,Index Number,Units,Stock,none,Annual From Dec 1914 To Oct 1922<BR>Monthly From Nov 1922 To Aug 2020<BR>,"Sources: League of Nations (1920-1939); G. Delivanis and W. C. Cleveland, Greek Monetary Developments, Bloomington: Univ. Of Indiana Press (1939-1946); National Statistical Service, Monthly Statistical Bulletin (1946-) Notes: The data are rebased beginning in 1946 to reflect the end of the inter-war hyperinflation. Data are disseminated on the CPI, a Laspeyres-type index (1999=100), which covers the entire country of Greece. The Greek CPI is a fixed base index, revised at approximately 6-year intervals. The weights of the items (good and services), which are used for the compilation of the revised CPI, were calculated on the basis of the results of the Household Budget Survey conducted in the period October1998 - November 1999. In the frame of the last revision of the Index, its geographic coverage was extended from the urban areas to the whole country.   The Population coverage is the same as that of the previous CPIs. More precisely, the index covers, as regards the weights, private households only, leaving out collective households and foreign visitors (tourists) in Greece.   Prices are collected from outlets located in 25 cities of Greece, whose markets are considered as representative centers of wider geographic areas. Depending on the items, the outlets are distinguished as department stores, specialized stores, supermarkets, open-air markets and enterprises rendering services. The frequency of price collection varies depending on the nature of the products. Prices of fresh products (fruit and vegetables and fish) and energy products (heating oil, petrol) are collected once a week. For the other products, prices are collected once a month. Weekly prices refer to Tuesday. Monthly prices are collected in a cyclical manner so as to refer to the whole month. The collected prices correspond with the prices actually paid by the consumer and consequently all taxes (included VAT) are included.  The basket covered by the index comprises 725 products from 12 product categories. Monthly price quotations number approximately 50,000 and are collected from 4,500 outlets and 1,500 households. Prices are not seasonally adjusted.",,Split adjusted.
CPHKGM,Hong Kong Consumer Price Index Inflation Rate,Consumer Price Indices,Hong Kong Dollar,Hong Kong,,,,,,,Index Number,Units,Stock,none,Quarterly From Mar 1947 To Dec 1950<BR>Monthly From Jan 1951 To Aug 2020<BR>,"Sources: Hong Kong Statistical Bureau, Monthly Bulletin of Statistics (1947-) Notes: Data are quarterly from 1947 to 1950 and monthly thereafter. Data are disseminated for four different CPIs, namely, Consumer Price Index (A) [CPI(A)], Consumer Price Index (B) [CPI(B)], Consumer Price Index (C) [CPI(C)] and Composite CPI. (1) The CPI(A) is based on the expenditure patterns of about 50 percent of households, in the relatively low expenditure range, in Hong Kong, which had an average monthly expenditure of $4,500-$18,499 in 1999/2000 (October 1999 - September 2000). (2) The CPI(B) is based on the expenditure patterns of the next 30 percent of households, which had an average monthly expenditure of $18,500-$32,499 in 1999/2000. (3) The CPI(C) is based on the expenditure patterns of the next 10 percent of households, which had an average monthly expenditure of $32,500-$65,999 in 1999/2000.  (4) The Composite CPI, which is the main indicator of consumer price inflation in Hong Kong, is based on the expenditure patterns of all the above households taken together. The CPIs are Laspeyres indices, with a base period of the 12-month period from October 1999 to September 2000. The CPIs cover 984 items. About 45,000 price quotations from some 4,000 outlets, including retail outlets and service providers, are obtained monthly. Prices do not include general sales tax as it does not exist in Hong Kong, but do include duties imposed on a very confined list of items such as motor spirits, tobacco, and drinks containing methyl alcohol. Prices are collected twice a week, monthly, bi-monthly, quarterly, and annually for different items. The weights are derived from the Household Expenditure Survey, and the indices are re-based and the weights revised every five years. Seasonally adjusted CPIs are also available.",,
CPHUNM,Hungary Consumer Price Index Inflation Rate,Consumer Price Indices,Hungary Forint,Hungary,,,,,,,Index Number,Units,Stock,none,Monthly From Sep 1922 To May 1946<BR>Weekly From Jun 1946 To Dec 1946<BR>Annual From Dec 1947 To Dec 1957<BR>Monthly From Jan 1958 To Aug 2020<BR>,"Base: 1929 = 100 for the pre-World War II data  <br />Sources: League of Nations (1922-1944), Bertrand Nogaro, Hungary Recent Monetary Crisis and Its Theoretical Meaning, American Economic Review 38:4 (1948), pp. 526-542, Central Statistical Office, Monthly Statistical Bulletin (1964-) <br />Notes: No data are available from February 1944 through June 1945.  Data are annual from 1957 through 1963 and monthly from March 1964. Data are disseminated on the CPI, an annual-chained Laspeyres index (December of the previous year=100) covering all households and the entire country.  <br />The index covers 1,100 items. More than 100,000 price quotes are collected each month from approximately 8,000 outlets. (The number of price quotations for each item varies from 30 to 150, depending on its character.) Prices are collected once a month within a given 3 week period.  <br />The weights are derived from the latest household budget survey. Underreporting of expenditure on certain items such as alcohol and tobacco are corrected using macro data of the National Accounts. The reference base for the weights is two years prior to the current year (for example, in 2002 the weights are based on the expenditure structure of 2000). The representative items, outlets, and weights are revised annually. The consumer price indices and the underlying inflation data are seasonally adjusted.",,Split adjusted.
