Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
GDPARG,Argentina Nominal GDP,National Account Aggregates,Argentina New Peso,Argentina,,,,,,,National Currency,Millions,Annual,none,Annual From Dec 1884 To Dec 1992<BR>Quarterly From Mar 1993 To Jun 2019<BR>,"Notes: Data are disseminated, both in millions of pesos and as a percentage rate of change, on GDP at current and constant 1993 prices. The data cover the entire economy.  Data on gross national income are disseminated in millions of pesos at nominal (Q) and constant (annual) 1993 price values. Data on savings are disseminated in millions of pesos at nominal (Q) and constant 1993 price values.  The gross domestic saving is presented quarterly as national saving and external saving (Q); and annually as public, private and external saving. The data are compiled using the production method. Data are disseminated showing a breakdown by production sector at the one digit level of ISIC Revision 3 classification.  The data are compiled in accordance with the methodology set out in the SNA 93. The data are not seasonally adjusted.",,Split adjusted.
GDPMEX,Mexico Nominal GDP,National Account Aggregates,Mexico Peso,Mexico,,,,,,,National Currency,Millions,Annual,none,Annual From Dec 1895 To Dec 1980<BR>Quarterly From Mar 1981 To Sep 2020<BR>,"Source: GDP (million current LCU): Figures for 1900-1987 are from INEGI (1990), no data for Mexico during the Revolution (1911-1920). Figures for 1988-2000 are from IMF IFS (2002b). Break in continuity 1987/8. Figures are expressed in Gold Pesos (GP) from 1900-1931, Silver Pesos (SP) from 1932-1992, and New Pesos (NP) from 1993-2000 using the 2008 Base numbers.Notes: Data are disseminated in millions of Mexican pesos and at annual rates on GDP at current prices and constant 1993 prices, by sector of activity (NACE (rev.1) and by expenditure method. Data are disseminated showing a breakdown by private consumption, government consumption, gross capital formation by public and private sectors, changes in stocks, exports of goods and services, and imports of goods and services. Total GDP at constant prices and seasonally adjusted is also shown. Corresponding implicit deflators are included. Data are prepared according to the United Nations 1993 ""System of National Accounts"". Not included are unlawful activities such as the manufacturing and distribution of narcotic drugs, contraband and illegal transportation of merchandise, and activities (medicine, for example) practiced by persons not entitled to exercise a profession.",,Legacy Currency adjusted. Split adjusted.
GDPZAF,South Africa Annualized Gross Domestic Product,National Account Aggregates,South Africa Rand,South Africa,,,,,,,National Currency,Millions,Annual,none,Annual From Dec 1911 To Dec 1959<BR>Quarterly From Mar 1960 To Mar 2020<BR>,"Notes: Data are disseminated in millions of rand on value added by industry and gross domestic product (GDP) at nominal and constant 2000 price values, compiled according to the production method. The breakdown by kind of economic activity is disseminated for both the current and constant 2000 prices for the following: (1) Agriculture, forestry and fishing; (2) Mining and quarrying; (3) Manufacturing; (4) Electricity, gas and water; (5) Construction (contractors); (6) Wholesale and retail trade, catering and accommodation; (7) Transport, storage and communication; (8) Finance, insurance, real estate and business services; (9) Personal services; and (10) General government services.   The data are compiled according to the 1993 SNA and are published in both original and seasonally adjusted forms, as well as in annualized rates. See also the separate DSBB page on GDP compiled by the expenditure method.",,Split adjusted.
GDPUSA,United States Nominal GDP,National Account Aggregates,United States Dollar,United States,,,,,,,National Currency,Billions,Annual,SA,Annual From Dec 1789 To Dec 1920<BR>Quarterly From Mar 1921 To Dec 2020<BR>,"Sources: Annual data before 1929 are taken from Historical Statistics of the United States, Colonial times to 1970, Washington: U.S. Dept. of Commerce, and B.R. Mitchell, International Historical Statistics: The Americas 1750-1992, Fourth Edition, New York: Stockton Press, 1998; Bureau of the Census, U.S. Govt. Print. Off., 1975; Quarterly data are from the US Bureau of Economic Analysis which calculates the GDP data. Notes: Data are in billions of US Dollars. Data are disseminated in current prices and in real terms, with corresponding price indexes, for GDP and GNP by expenditure category; in current prices for national income, personal income and saving; and, in real terms for disposable personal income and per capita disposable income. Detailed data on GDP are published for the following expenditure categories: personal consumption expenditure; private fixed investment in structures;private fixed investment in equipment and software; change in private inventories; exports; imports; Federal government consumption expenditures and gross investment; state and local government consumption expenditure and gross investment. Detailed components of national income, personal income, and consumption of fixed capital are also published. Current price estimates are generally presented in billions of dollars; real measures are presented in both index form and in dollars and are calculated using the chained Fisher index formula (reference year, 1996). Quarterly estimates are seasonally adjusted and at annual rates. The geographic coverage of the data is the 50 States and the District of Columbia. All legal activities are covered (certain non-market activities by imputation). Activities reflect the entire period (year or quarter). GDP is recorded on a production timing basis; consistent with production, national income and its components are largely on an accrual basis; personal taxes are on a cash basis and personal income is largely on a cash basis. The personal sector covers households and nonprofit institutions serving individuals; the business sector covers, in addition to businesses organized for profit, mutual financial institutions, private noninsured pension funds, cooperatives, government enterprises, and nonprofit institutions that primarily serve business. Basic data include economic censuses taken at 5-year intervals; annual, quarterly, and monthly statistical surveys; decennial censuses of housing and residential finance; budgetary and administrative information, including tabulations of tax returns; and private trade sources. The United States has either already adopted, or is moving towards adopting, the most important changes included in the 1993 SNA.Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury. The GDP methodology was revised in 2013.  This increased the 1929 values by about 1%.  To reflect this, all data prior to 1929 were increased by 1% for consistency.",,Split adjusted.
GDPOECD,OECD Nominal GDP,National Account Aggregates,United States Dollar,World,,,,,,,National Currency,Millions,Annual,none,Quarterly From Mar 1960 To Sep 2020<BR>,Source: Organization for Economic Cooperation and Development,,
GDPEU15A,Europe EU-15 Annualized Gross Domestic Product,National Account Aggregates,Europe Euro,Europe,,,,,,,National Currency,Millions,Annual,none,Quarterly From Dec 1991 To Mar 2010<BR>,,,
GDPGEO,Georgia Nominal GDP,National Account Aggregates,Georgia Lari,Georgia,,,,,,,National Currency,Millions,Annual,none,Quarterly From Mar 1996 To Sep 2020<BR>,Source: National Statistical Office of Georgia,,
GDPAUS,Australia Nominal GDP,National Account Aggregates,Australia Dollar,Australia,,,,,,,National Currency,Millions,Quarterly,none,Annual From Jun 1788 To Jun 1959<BR>Quarterly From Sep 1959 To Sep 2020<BR>,"Historical annual data are taken from Russell, International Historical Statistics and http://www.abs.gov.au/ausstats/abs@.nsf/Previousproducts/1301.0Feature%20Article502001?opendocument&tabname=Summary&prodno=1301.0&issue=2001&num=&view.  There was a change of methodology in 1959 producing a large change in nominal GDP.Notes: Data are disseminated in millions of Australian dollars for both current price data and chained volume measures of GDP. The current price estimates of GDP are compiled using both the income and the expenditure approaches, whereas the chain volume estimates of GDP are compiled using both the production and the expenditure approaches.  The chain volume measures are obtained by applying annually-reweighted chain Laspeyres volume changes to the current price values of a chosen reference year, which is always the last but one full financial year ending June 30 for which the data are available. The so-called ""headline"" chain volume measure is referred to simply as GDP and is the average of the three independent measures. The ""headline"" measure of GDP at current prices is obtained by reflating the chain volume measure of GDP using the expenditure implicit price deflator. The following breakdowns of GDP are disseminated: (1) By expenditure category, which includes household consumption, government consumption, gross fixed capital formation by government and by enterprises, changes in inventories, and exports and imports of goods and services.(2) By productive sectors. Using the Australian and New Zealand Standard Industrial Classification (ANZSIC), information is provided by division for all industries. Additional breakdowns are provided for the agriculture, forestry and fishing; mining; manufacturing; electricity, gas and water; and transport and storage industries.(3) By income components, which include compensation of employees, gross operating surplus, gross mixed income and taxes less subsidies on production and imports.A wide range of data sources are used in the compilation of the quarterly national accounts. Virtually every economic collection (censuses and surveys) undertaken by the ABS is used, along with a range of administrative by-product statistics (including taxation statistics, motor vehicle registration data, customs data, etc.). Quarterly estimates are compiled from direct source data where possible. If direct source data are not available, the most suitable indicator series is used to allocate annual estimates to quarters and to extrapolate from the latest annual benchmark. Where no suitable quarterly indicator can be obtained, annual estimates are allocated to quarters and extrapolated using a mathematical trend formula. Seasonally adjusted estimates are provided for the current price gross domestic product and its income and expenditure components, national income account, national capital account, external account, general government income account, household income account estimates and for chain volume measures for GDP and its expenditure and industry components. Standard ABS seasonal adjustment methods are used except for various farm crops for which a special method is used. Australia's national accounts are compiled on the basis of the 1993 System of National Accounts. Transactions are recorded as far as possible on a change of ownership basis.Quarterly data on the ""encouraged"" components of saving and gross national income are available from the income account",,Split adjusted.
GDPCHL,Chile Nominal GDP,National Account Aggregates,Chile Peso,Chile,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1870 To Dec 1989<BR>Quarterly From Mar 1990 To Sep 2020<BR>,"Source: Central Bank of Chile Braun, J., M. Braun, I. Briones, and J. DÃ­az, ""EconomÃ­a Chilena, 1810-1995: EstadÃ­sticas HistÃ³ricas,"" Instituto de EconomÃ­a - Pontifica Universidad CatÃ³lica de Chile, Documento de Trabajo No. 187, 2000<br />Notes: Data are disseminated in Chilean pesos for Gross Domestic Product (GDP) in current prices and constant 1986 prices. (The scale of data presentation, millions or billions of Chilean pesos, is specified in the relevant publications). The data cover the entire economy of Chile. The data for GDP in constant 1986 prices are broken down by productive sector (classified according to CIIU, Rev. 2) and by major expenditure category showing: gross fixed capital formation, rest of domestic demand, and exports and imports of goods and services. The data for GDP in current prices are broken down only by major expenditure category showing the same breakdown as GDP (by expenditure side) at constant prices. The basic data are obtained from surveys, administrative registers, and other sources. In general, the data are compiled following the guidelines of the ""System of National Accounts 1993"" (SNA '93). The constant 1986 data cover the period since 1986. (The previous series in constant 1977 prices was compiled for the period from 1980 through 1993.). The current price data cover the period since 1990. On February 25, 1998, revised figures of national accounts covering the 1989-96 period were released. These data include an important methodological modification, in which direct investment income is registered on an accrual basis instead of on a cash basis.  Data on global GDP, seasonally adjusted, are also published.",,Split adjusted.
GDPCOL,Colombia Nominal GDP,National Account Aggregates,Colombia Peso,Colombia,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1905 To Dec 1993<BR>Quarterly From Mar 1994 To Sep 2019<BR>,"GRECO (Grupo de estudios del crecimiento econÃ³mico colombiano). 1998. El crecimiento econÃ³mico colombiano en el siglo XX: aspectos globales. Documento de Trabajo del Banco Central de Colombia.			<br />GRECO. 1999. El desempeÃ±o macroeconÃ³mico colombiano, series estadÃ­sticas. Documento de Trabajo del Banco Central de Colombia.			<br />www.banrep.gov.co/docum/ftp/borra134.pdf		<br />The methodology used by these sources to calculate GDP in Colombia was the following:		<br />1905-1924:	the average between GDP estimated by monetary base and foreign trade statistics.	<br />1925-1949	CEPAL's estimations presented in AnÃ¡lisis y proyecciones del desarrollo estadÃ­stico en Colombia. El desarrollo econÃ³mico	<br />	de Colombia, anexo estadÃ­stico, DANE, 1957	<br />1950-	Central Bank of Colombia's estimations in Principales Indicadores EconÃ³micos, 1923-1992, BogotÃ¡, 1993.	<br />The nominal GDP here is calculated using the GDP deflator. GRECO (1999) also offers this series (and obtains the same figures).		<br /><br />Colombia changed their GDP methodology in 1975, 1994, 2000 and 2005.  This creates a larger than normal change in GDP in 1994, changing GDP from 57982 billion to 67532 billion.Notes: The data are disseminated in millions of Colombian pesos on GDP in current and constant (1994) prices. The annual data are disseminated as a level, and the quarterly data from Q1 1994 are published as a level, as a percentage change, and as indices. The data are compiled by production method and cover the entire economy, including estimations for sectors with tie to the illegal economy. The data are broken down by sector of economic activity, by institutional sector, and by final supply and demand. The breakdown of the principal sectors of economic activity is disseminated in both current and constant 1994 prices at the one-digit level of the ISIC. The breakdown includes the following: agriculture; mining; manufacturing industry; electricity, gas and water; construction and public works; trade, restaurants and hotels; transport and communications; financial establishments, real estate insurance and business services; social, Communal, and Personal services. The breakdown by institutional sector is published in current prices only and shows: households and private nonprofit institutions; general government; public and private financial institutions; and public and private nonfinancial companies and quasi-companies. Data on implicit price indices and data on GDP at factor cost are also published. The data are prepared according to the recommendations of the 1993 edition of the United Nations System of National Accounts",,Split adjusted.
