Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
GDPCEST,Estonia Real GDP in 2010 Euros,National Account Aggregates,Europe Euro,Estonia,,,,,,,National Currency,Millions,Annual,CON,Quarterly From Mar 1993 To Sep 2020<BR>,,,
GDPCUSA,United States Real GDP in 2012 Dollars,National Account Aggregates,United States Dollar,United States,,,,,,,National Currency,Billions,Annual,CON,Annual From Dec 1789 To Dec 1946<BR>Quarterly From Mar 1947 To Dec 2020<BR>,"Data are in the billions of constant US Dollars.Sources: Annual data before 1929 are taken from Historical Statistics of the United States, Colonial times to 1970, Washington: U.S. Dept. of Commerce, and B.R. Mitchell, International Historical Statistics: The Americas 1750-1992, Fourth Edition, New York: Stockton Press, 1998; Bureau of the Census, U.S. Govt. Print. Off., 1975; Quarterly data are from the US Bureau of Economic Analysis which calculates the GDP data. Notes: Data are in billions of US Dollars. Data are disseminated in current prices and in real terms, with corresponding price indexes, for GDP and GNP by expenditure category; in current prices for national income, personal income and saving; and, in real terms for disposable personal income and per capita disposable income. Detailed data on GDP are published for the following expenditure categories: personal consumption expenditure; private fixed investment in structures;private fixed investment in equipment and software; change in private inventories; exports; imports; Federal government consumption expenditures and gross investment; state and local government consumption expenditure and gross investment. Detailed components of national income, personal income, and consumption of fixed capital are also published. Current price estimates are generally presented in billions of dollars; real measures are presented in both index form and in dollars and are calculated using the chained Fisher index formula (reference year, 1996). Quarterly estimates are seasonally adjusted and at annual rates. The geographic coverage of the data is the 50 States and the District of Columbia. All legal activities are covered (certain non-market activities by imputation). Activities reflect the entire period (year or quarter). GDP is recorded on a production timing basis; consistent with production, national income and its components are largely on an accrual basis; personal taxes are on a cash basis and personal income is largely on a cash basis. The personal sector covers households and nonprofit institutions serving individuals; the business sector covers, in addition to businesses organized for profit, mutual financial institutions, private noninsured pension funds, cooperatives, government enterprises, and nonprofit institutions that primarily serve business. Basic data include economic censuses taken at 5-year intervals; annual, quarterly, and monthly statistical surveys; decennial censuses of housing and residential finance; budgetary and administrative information, including tabulations of tax returns; and private trade sources. The United States has either already adopted, or is moving towards adopting, the most important changes included in the 1993 SNA.Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",,
GDPCLVA,Latvia Real GDP in 2010 Latu,National Account Aggregates,Latvia Lat (Euro from 01/01/2014),Latvia,,,,,,,National Currency,Millions,Annual,CON,Quarterly From Dec 1990 To Sep 2020<BR>,,,
GDPCMEX,Mexico Real GDP in 2013 Pesos,National Account Aggregates,Mexico Peso,Mexico,,,,,,,National Currency,Millions,Annual,CON,Annual From Dec 1800 To Dec 1980<BR>Quarterly From Mar 1981 To Sep 2020<BR>,Source: Instituto Nacional de Estadistica y Geografia,,
GDPCCAN,Canada Real GDP in 2007 Dollars,National Account Aggregates,Canada Dollar,Canada,,,,,,,National Currency,Millions,Annual,CON,Annual From Dec 1870 To Dec 1956<BR>Quarterly From Mar 1957 To Sep 2020<BR>,Source: Statistics Canada,,
GDPCARG,Argentina Real GDP in 2010 Pesos,National Account Aggregates,Argentina New Peso,Argentina,,,,,,,National Currency,Millions,Annual,CON,Annual From Dec 1900 To Dec 1990<BR>Quarterly From Mar 1991 To Jun 2019<BR>,Source: Banco Central de Argentina,,
GDPCDEU,Germany Real GDP in 2010 Euros,National Account Aggregates,Germany Deutschemark (Euro from 01/01/1999),Germany,,,,,,,National Currency,Millions,Quarterly,CON,Annual From Dec 1850 To Dec 1959<BR>Quarterly From Mar 1960 To Dec 2020<BR>,"Data from 1850 to 1938 are for all of Germany.  Data from 1948 to 1959 exclude Saarland and West Berlin, data from 1960 to 1990 are for West Germany. Data from 1991 are for unified Germany. GDP excluding Saarland and West Berlin was 279 in 1960.Notes: Data are disseminated on the quarterly results of origin, use and distribution calculation of the national accounts (VGR). The disseminated data for Germany include data on: current price GDP in billions of EUR; constant price GDP (1995=100) in billions of EUR; per-capita GDP; GNI; disposable income; and national income in EUR. Seasonally adjusted data for GDP, GNI, national income and utilization aggregates are also disseminated for Germany.  The following breakdowns are disseminated: (1) Origination of the gross domestic product (BIP): nominal and real results according to six economic sectors (agriculture, forestry, and fishing; manufacturing, including energy; construction; trade and transport; financial, renting and business activities; and other service activities.  (2) Use of the gross domestic product: nominal and real utilization aggregates and the pertinent price indices. (3) Distribution of national income: gross national income, net national income, income from employment and income from entrepreneurial activity and property, income originated domestically from employment and the gross wage and gross salary total according to six economic sectors and the net wage and salary total, disposable income and capital formation of all sectors and private households. The most important base statistics for the quarterly calculations are the production index, monthly construction reporting, monthly foreign trade statistics and other monthly and quarterly statistics.",,Split adjusted.
GDPCOECD,OECD Real GDP in 2010 US Dollars,National Account Aggregates,United States Dollar,World,,,,,,,National Currency,Millions,Annual,CON,Quarterly From Mar 1961 To Sep 2020<BR>,Source: Organization for Economic Cooperation and Development,,
GDPCZAF,South Africa Real GDP in 2010 Rand,National Account Aggregates,South Africa Rand,South Africa,,,,,,,National Currency,Millions,Annual,CON,Annual From Dec 1911 To Dec 1959<BR>Quarterly From Mar 1960 To Mar 2020<BR>,Source: Reserve Bank of South Africa,,
GDPCBRA,Brazil Real GDP in 2010 Reais,National Account Aggregates,Brazil Real,Brazil,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1870 To Dec 1989<BR>Quarterly From Mar 1990 To Sep 2020<BR>,"Source: Cepalstat<br />Notes: Quarterly data are disseminated (in millions of Reais (R$)) on GDP in current prices and annually-chained volume index of GDP as well as GDP implicit deflators.The data are published in the form of value, numerical indices and rates of change. The data are compiled by the production method and cover the entire economy of Brazil. The GDP in current prices measures the total amount of the goods and services for final use produced during the quarter before deduction of consumption of fixed capital. Quarterly data are adjusted to annual data using a bench marking procedure. The quarterly GDP estimates are close to the recommendations of the United Nations System of National Accounts, SNA 1993. All transactions defined in the SNA for production (commercial and non-commercial transactions) are recorded on an accrual basis, except government revenues, which are on a cash basis. Noncommercial transactions are measured by production costs. Imputed rents are measured by the market price of similar units. Breakdowns of GDP in current prices and annually-chained volume index of GDP as well as GDP implicit deflators are disseminated for 4 groups (Agropecuaria, Industria, Servicos e Doummy Financeiro), and breakdowns of annually-chained volume index of GDP dissagregated by 14 subgroups (Crops, Animal Production, Plant Extraction, Mineral Extraction, Manufacturing, Building, Public utility industrial services, Commerce, Transportation, Communications, Financial Institutions, Rents, Public Administration and Other Services). The classifications follow ISIC-Rev. 2 and the data for all activities are seasonally adjusted. The seasonally-adjusted data are obtained using the X12-Arima method.",,Split adjusted.
GDPCBGR,Bulgaria Real GDP in 2010 Lev,National Account Aggregates,Bulgaria New Lev,Bulgaria,,,,,,,National Currency,Millions,Annual,CON,Annual From Dec 1887 To Dec 1994<BR>Quarterly From Mar 1995 To Sep 2020<BR>,Annual data to 1945 are from Dimitrova and Ivanov (2014: series BG6B_A).  Quarterly data are from the World Bank.  The data series to 1945 and since 1994 are not comparable.,,
