DATE,USD3MTD156N
1986-01-02,8
1986-01-03,8.0625
1986-01-06,8.125
1986-01-07,8.125
1986-01-08,8
1986-01-09,8.1875
1986-01-10,8.25
1986-01-13,8.375
1986-01-14,8.375
1986-01-15,8.25
1986-01-16,8.1875
1986-01-17,8.1875
1986-01-20,8.25
1986-01-21,8.1875
1986-01-22,8.1875
1986-01-23,8.1875
1986-01-24,8.1875
1986-01-27,8.125
1986-01-28,8.0625
1986-01-29,8.0625
1986-01-30,8.0625
1986-01-31,8.0625
1986-02-03,8.0625
1986-02-04,8.0625
1986-02-05,8
1986-02-06,8
1986-02-07,8.0625
1986-02-10,8.125
1986-02-11,8.0625
1986-02-12,8.0625
1986-02-13,8.0625
1986-02-14,8.0625
1986-02-17,8
1986-02-18,8
1986-02-19,8
1986-02-20,8
1986-02-21,8
1986-02-24,8
1986-02-25,7.9375
1986-02-26,8
1986-02-27,7.9375
1986-02-28,7.875
1986-03-03,7.875
1986-03-04,7.75
1986-03-05,7.6875
1986-03-06,7.6875
1986-03-07,7.5625
1986-03-10,7.5625
1986-03-11,7.5
1986-03-12,7.4375
1986-03-13,7.5
1986-03-14,7.5
1986-03-17,7.5
1986-03-18,7.5
1986-03-19,7.5625
1986-03-20,7.5625
1986-03-21,7.5
1986-03-24,7.5625
1986-03-25,7.5625
1986-03-26,7.5625
1986-03-27,7.4375
1986-03-28,.
1986-03-31,.
1986-04-01,7.3125
1986-04-02,7.3125
1986-04-03,7.3125
1986-04-04,7.3475
1986-04-07,7.25
1986-04-08,7.0625
1986-04-09,6.875
1986-04-10,6.875
1986-04-11,6.875
1986-04-14,6.875
1986-04-15,6.8125
1986-04-16,6.75
1986-04-17,6.5625
1986-04-18,6.625
1986-04-21,6.6875
1986-04-22,6.75
1986-04-23,6.8125
1986-04-24,6.8125
1986-04-25,6.9375
1986-04-28,7
1986-04-29,6.875
1986-04-30,6.875
1986-05-01,6.875
1986-05-02,6.9375
1986-05-05,.
1986-05-06,6.8125
1986-05-07,6.8125
1986-05-08,6.8125
1986-05-09,6.8438
1986-05-12,6.9375
1986-05-13,7.0625
1986-05-14,6.9375
1986-05-15,7
1986-05-16,7.125
1986-05-19,7.125
1986-05-20,7.1875
1986-05-21,7.0625
1986-05-22,7.0625
1986-05-23,7.0625
1986-05-26,.
1986-05-27,7.0625
1986-05-28,7
1986-05-29,7.0625
1986-05-30,7.125
1986-06-02,7.125
1986-06-03,7.1875
1986-06-04,7.1875
1986-06-05,7.1875
1986-06-06,7.1875
1986-06-09,7.0625
1986-06-10,7.125
1986-06-11,7.125
1986-06-12,7.125
1986-06-13,7.125
1986-06-16,7.0313
1986-06-17,7
1986-06-18,7
1986-06-19,7
1986-06-20,7.0625
1986-06-23,7.0625
1986-06-24,7
1986-06-25,6.9375
1986-06-26,7
1986-06-27,6.9375
1986-06-30,6.875
1986-07-01,6.8125
1986-07-02,6.8125
1986-07-03,6.8125
1986-07-04,6.7656
1986-07-07,6.75
1986-07-08,6.75
1986-07-09,6.8125
1986-07-10,6.75
1986-07-11,6.6875
1986-07-14,6.6875
1986-07-15,6.5625
1986-07-16,6.5625
1986-07-17,6.5781
