, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, 
Date, GDID, GDTR, GDMX, GDEG, GDPH, GDBH, GDBR, GDCO, GDDO, GDPA, GDQA, GDZA, GDCN, GDIL, GDGH, GDPE, GDRU, GDLK, GDCL, GDSV, 
12/31/1991,, ,20354.365, ,533.971, ,534.874, , , , , , , , , , , , , , 
1/31/1992,, ,20775.672, ,560.256, ,560.324, , , , , , , , , , , , , , 
2/29/1992,, ,21495.007, ,559.837, ,565.075, , , , , , , , , , , , , , 
3/31/1992,, ,21022.789, ,550.195, ,533.262, , , , , , , , , , , , , , 
4/30/1992,, ,21164.581, ,564.568, ,528.172, , , , , , , , , , , , , , 
5/31/1992,, ,21320.591, ,602.538, ,538.183, , , , , , , , , , , , , , 
6/30/1992,, ,21645.803, ,647.147, ,547.599, , , , , , , , , , , , , , 
7/31/1992,, ,22402.064, ,639.714, ,575.424, , , , , , , , , , , , , , 
8/31/1992,, ,22554.727, ,640.284, ,567.662, , , , , , , , , , , , , , 
9/30/1992,, ,21579.146, ,613.443, ,533.093, , , , , , , , , , , , , , 
10/31/1992,, ,16901.764, ,578.094, ,515.914, , , , , , , , , , , , , , 
11/30/1992,, ,16936.621, ,581.668, ,4907.433, , , , , , , , , , , , , , 
12/31/1992,, ,17372.29, ,2026.524, ,4649.522, , , , , , , , , , , , , , 
1/31/1993,, ,17739.476, ,2015.17, ,4691.991, , , , , , , , , , , , , , 
2/28/1993,, ,17970.14, ,2060.245, ,4804.437, , , , , , , , , , , , , , 
3/31/1993,, ,17900.92, ,2200.277, ,5230.139, , , , , , , , , , , , , , 
4/30/1993,, ,17821.15, ,2761.298, ,5429.13, , , , , , , , , , , , , , 
5/31/1993,, ,18069.061, ,2770.093, ,5727.123, , , , , , , , , , , , , , 
6/30/1993,, ,18339.97, ,2704.644, ,5831.559, , , , , , , , , , , , , , 
7/31/1993,, ,18860.753, ,2807.922, ,14371.062, , , , , , , , , , , , , , 
8/31/1993,, ,19341.389, ,2926.529, ,15200.395, , , , , , , , , , , , , , 
9/30/1993,, ,18716.25, ,3012.861, ,15340.324, , , , , , , , , , , , , , 
10/31/1993,, ,20159.726, ,3305.296, ,16192.001, , , , , , , , , , , , , , 
11/30/1993,, ,20171.334, ,3255.25, ,16768.547, , , , , , , , , , , , , , 
12/31/1993,, ,21392.543, ,3365.473, ,17784.299, , , , , , , , , , , , , , 
1/31/1994,, ,21085.375, ,3473.923, ,25802.916, , , , , , , , , , , , , , 
2/28/1994,, ,19694.782, ,3084.483, ,17622.481, , , , , , , , , , , , , , 
3/31/1994,, ,17869.483, ,2806.403, ,18170.55, , , , , , , , , , , , , , 
4/30/1994,, ,17235.056, ,2891.075, ,25239.985, , , , , , , , , , , , , , 
5/31/1994,, ,18111.357, ,3030.139, ,26544.062, , , , , , , , , , , , , , 
6/30/1994,, ,17097.357, ,2911.016, ,25486.341, , , , , , , , , , , , , , 
7/31/1994,, ,17787.892, ,2974.387, ,26852.019, , , , , , , , , , , , , , 
8/31/1994,, ,18323.228, ,3039.047, ,30931.869, , , , , , , , , , , , , , 
9/30/1994,, ,17545.435, ,3004.176, ,32102.394, , , , , , , , , , , , , , 
10/31/1994,, ,17321.435, ,2960.693, ,30008.707, , , , , , , , , , , , , , 
11/30/1994,, ,17352.08, ,2969.69, ,30911.034, , , , , , , , , , , , , , 
12/31/1994,, ,14704.773, ,2954.342, ,29571.175, , , , , , , , , , , , , , 
1/31/1995,, ,14860.43, ,2867.41, ,28573.799, , , , , , , , , , , , , , 
2/28/1995,, ,13544.311, ,2827.997, ,26671.373, , , , , , , , , , , , , , 
3/31/1995,, ,12636.469, ,2870.561, ,24713.048, , , , , , , , , , , , , , 
4/30/1995,, ,14038.306, ,2901.274, ,26352.4, , , , , , , , , , , , , , 
5/31/1995,, ,14519.303, ,3028.716, ,28761.974, , , , , , , , , , , , , , 
6/30/1995,, ,15731.532, ,3107.061, ,28408.27, , , , , , , , , , , , , , 
7/31/1995,, ,15811.653, ,3178.215, ,28524.477, , , , , , , , , , , , , , 
8/31/1995,, ,15983.207, ,3229.751, ,29389.407, , , , , , , , , , , , , , 
9/30/1995,, ,15619.905, ,3255.395, ,31461.546, , , , , , , , , , , , , , 
10/31/1995,, ,15104.804, ,3238.688, ,29932.98, , , , , , , , , , , , , , 
11/30/1995,, ,15471.045, ,3166.213, ,30324.386, , , , , , , , , , , , , , 
12/31/1995,, ,16540.565, ,3229.174, ,31862.654, , , , , , , , , , , , , , 
1/31/1996,, ,17522.885, ,3417.957, ,35005.671, , , , , , , , , , , , , , 
2/29/1996,, ,17207.818, ,3410.942, ,33179.724, , , , , , , , , , , , , , 
3/31/1996,, ,17468, ,3429.065, ,33612.808, , , , , , , , , , , , , , 
4/30/1996,, ,18386.814, ,3503.56, ,33751.052, , , , , , , , , , , , , , 
5/31/1996,, ,17086.839, ,3497.057, ,34327.633, , , , , , , , , , , , , , 
6/30/1996,, ,17280.67, ,3494.549, ,35359.9, , , , , , , , , , , , , , 
7/31/1996,, ,17316.656, ,3492.856, ,35656.255, , ,1860.325, , , , , , , , , , , 
8/31/1996,, ,17986.096, ,3554.508, ,37041.763, , ,1865.212, , , , , , , , , , , 
9/30/1996,, ,18324.698, ,3084.191, ,39176.356, , ,1944.406, , , , , , , , , , , 
10/31/1996,, ,18509.336, ,3772.661, ,37442.055, , ,2078.041, ,299.978, , , , , , , , , 
11/30/1996,, ,19096.013, ,3882.773, ,39729.643, , ,2140.407, ,310.963,302.923, , , ,998.049, , , , 
12/31/1996,418.48, ,19228.673, ,3851.918, ,39715.271, , ,2205.472, ,306.183,2609.046,238.78, , ,983.771, , , , 
1/31/1997,419.788, ,21125.071, ,3869.797, ,41494.783, , ,2410.744, ,312.064,2608.248,238.675, , ,997.472, , , , 
2/28/1997,406.984, ,21466.663, ,3872.463, ,42333.5,729.765, ,2373.269, ,314.446,2582.602,238.75, , ,1012.375, , , , 
3/31/1997,395.62, ,19693.076, ,3789.474, ,41072.76,706.02, ,2242.1, ,309.764,2550.83,233.792, ,2294.968,998.014, , , , 
4/30/1997,402.148, ,20422.153, ,3818.895, ,40691.599,718.881, ,2379.732, ,302.007,2591.511,238.24, ,2414.341,1028.657, , , , 
5/31/1997,406.1, ,21026.478, ,3826.526, ,39916.519,733.232, ,2412.799, ,305.56,2613.941,240.515, ,2578.351,995.333, , , , 
6/30/1997,413.144, ,22126.251, ,4220.573, ,42697.215,748.277, ,2496.992, ,814.784,2621.593,236.092, ,2649.282,3018.719, , , , 
7/31/1997,427.844, ,23262.443, ,4242.503, ,44438.503,778.771, ,2466.549, ,859.902,2676.094,1557.168, ,2698.346,3132.65, , , , 
8/31/1997,398.149,430.721,22854.453, ,4188.278, ,43809.761,735.162, ,2433.459, ,837.627,2613.776,1558.9, ,2682.308,3137.033, , , , 
9/30/1997,404.681,1053.437,23100.311, ,4211.901, ,45337.712,746.57, ,3151.037, ,853.828,2651.339,1777.859, ,2695.363,3250.204, , , , 
10/31/1997,375.972,1005.341,21861.046, ,3830.788, ,37949.326,726.498, ,2901.427, ,810.001,2651.346,1790.175, ,2383.878,2901.014, , , , 
11/30/1997,389.499,1015.918,22374.679, ,3911.638, ,40470.43,716.428, ,3027.503, ,810.174,2645.89,1792.215, ,2512.764,2851.452, , , , 
12/31/1997,0,1047.772,23010.815, ,3768.176, ,37298.989,722.471, ,3089.021, ,789.91,2609.04,1780.043, ,2668.968,20166.543, , , , 
1/31/1998,0,1049.739,23476.426, ,3882.556, ,37345.451,728.765, ,3126.114, ,785.22,2625.155,1794.401, ,2675.664,18551.063, , , , 
2/28/1998,0,1543.252,23523.667, ,3977.907, ,38430.034,713.93, ,3123.765, ,798.339,2586.895,1796.716, ,2733.765,19909.462, , , , 
3/31/1998,0,1565.331,24255.139, ,4054.308, ,40298.044,716.075, ,3189.356, ,809.499,2617.123,1807.497, ,2742.518,20856.989, , , , 
4/30/1998,0,1578.304,24336.208, ,4003.266, ,40266.536,1222.394, ,3153.859, ,825.985,3021.167,1814.531, ,2730.284,20770.185, , , , 
5/31/1998,0,1832.167,23704.117, ,4914.812, ,37696.649,1630.223, ,3362.264, ,808.153,3043.702,1764.331, ,2662.803,18344.506, , , , 
6/30/1998,0,1798.717,23651.06, ,4729.425, ,35990.091,1584.109, ,3333.23, ,775.754,3025.263,1765.467, ,2500.93,19121.826, , , , 
7/31/1998,0,1837.896,24219.66, ,4304.956, ,37175.624,1598.705, ,3327.401, ,1532.475,3033.278,1771.789, ,2571.462,22110.201, , , , 
8/31/1998,0,1483.947,20163.068, ,3454.899, ,26799.426,1332.59, ,2714.467, ,1438.967,2935.492,1779.56, ,1943.234,6704.095, , , , 
9/30/1998,0,1516.67,20670.653, ,3655.34, ,28476.09,1253.039, ,2579.4, ,1281.824,2996.019,1795.09, ,2076.32,5382.72, , , , 
10/31/1998,0,1602.336,21420.089, ,3883.214, ,29305.717,1369.496, ,2738.217, ,1364.413,2944.67,1800.691, ,2316.612,5974.819, , , , 
11/30/1998,0,1692.713,22086.598, ,4198.61, ,32183.002,1495.106, ,2845.118, ,1457.537,3036.738,1803.69, ,2532.03,6600.256, , , , 
12/31/1998,0,2047.146,22063.166, ,4647.779, ,28187.066,1484.234, ,2804.599, ,663.048,3008.69,1784.012, ,2318.74,6185.79, , , , 
1/31/1999,0,2107.568,21803.473, ,5443.243, ,25825.14,1478.525, ,2742.07, ,676.308,3044.606,2049.837, ,2140.383,6497.705, , , , 
2/28/1999,0,2105.548,22655.066, ,5407.634, ,27480.995,1467.957, ,2749.126, ,705.943,2959.418,2029.658, ,2196.522,5758.267, , , , 
3/31/1999,0,2145.459,24390.56, ,5517.355, ,31042.213,2030.109, ,3339.54, ,748.455,4022.714,685.862, ,2332.877,6096.442, , , , 
