, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, 
Date, GDUA, GDNG, GDPY, GDKR, GDUY, GDGT, GDRO, GDAR, GDCR, GDAO, GDBY, GDJM, GDJO, GDKE, GDMA, GDPK, GDBS, GDHU, GDKZ, GDMY, GDMN, 
1/31/1992,,827.977, , , , , , , , , , , , , , , , , , , , 
2/29/1992,,844.756, , , , , , , , , , , , , , , , , , , , 
3/31/1992,,833.959, , , , , , , , , , , , , , , , , , , , 
4/30/1992,,892.071, , , , , , , , , , , , , , , , , , , , 
5/31/1992,,885.462, , , , , , , , , , , , , , , , , , , , 
6/30/1992,,885.548, , , , , , , , , , , , , , , , , , , , 
7/31/1992,,830.228, , , , , , , , , , , , , , , , , , , , 
8/31/1992,,814.617, , , , , , , , , , , , , , , , , , , , 
9/30/1992,,831.396, , , , , , , , , , , , ,1140.107, , , , , , , 
10/31/1992,,809.718, , , , , , , , , , , , ,1103.752, , , , , , , 
11/30/1992,,821.995, , , , , , , , , , , , ,1118.837, , , , , , , 
12/31/1992,,849.655, , , , , , , , , , , , ,1173.329, , , , , , , 
1/31/1993,,819.659, , , , , , , , , , , , ,1175.502, , , , , , , 
2/28/1993,,872.644, , , , , , , , , , , , ,1171.49, , , , , , , 
3/31/1993,,892.926, , , , , , , , , , , , ,1283.165, , , , , , , 
4/30/1993,,910.017, , , , , ,8799.762, , , , , , ,1297.707, , , , , , , 
5/31/1993,,955.31, , , , , ,9076.594, , , , , , ,1393.77, , , , , , , 
6/30/1993,,918.876, , , , , ,9640.558, , , , , , ,1601.156, , , , , , , 
7/31/1993,,1063.529, , , , , ,10236.166, , , , , , ,1774.878, , , , , , , 
8/31/1993,,1112.012, , , , , ,10876.205, , , , , , ,1807.883, , , , , , , 
9/30/1993,,1164.683, , , , , ,10819.961, , , , , , ,1828.279, , , , , , , 
10/31/1993,,1299.081, , , , , ,11728.896, , , , , , ,1966.018, , , , , , , 
11/30/1993,,1273.215, , , , , ,18102.832, , , , , , ,1921.087, , , , , , , 
12/31/1993,,1279.739, , , , , ,21150.219, , , , , , ,1992.921, , , , , , , 
1/31/1994,,1233.05, , , , , ,21523.068, , , , , , ,2056.305, , , , , , , 
2/28/1994,,1093.753, , , , , ,19834.36, , , , , , ,1801.038, , , , , , , 
3/31/1994,,882.671, , , , , ,16886.723, , , , , , ,1545.595, , , , , , , 
4/30/1994,,896.885, , , , , ,17198.462, , , , , , ,1659.626, , , , , , , 
5/31/1994,,978.384, , , , , ,18150.247, , , , , , ,1843.762, , , , , , , 
6/30/1994,,888.111, , , , , ,16432.668, , , , , , ,1771.853, , , , , , , 
7/31/1994,,760.693, , , , , ,16996.747, , , , , , ,1765.234, , , , , , , 
8/31/1994,,801.799, , , , , ,17677.214, , , , , , ,1766.011, , , , , , , 
9/30/1994,,877.543, , , , , ,17079.408, , , , , , ,1777.523, , , , , , , 
10/31/1994,,838.232, , , , , ,16307.577, , , , , , ,1753.725, , , , , , , 
11/30/1994,,855.324, , , , , ,15691.751, , , , , , ,1723.512, , , , , , , 
12/31/1994,,857.66, , , , , ,14363.281, , , , , , ,1658.385, , , , , , , 
1/31/1995,,800.46, , , , , ,14450.868, , , , , , ,1588.662, , , , , , , 
2/28/1995,,826.525, , , , , ,12757.667, , , , , , ,1514.187, , , , , , , 
3/31/1995,,811.569, , , , , ,13131.051, , , , , , ,1442.219, , , , , , , 
4/30/1995,,872.814, , , , , ,14449.495, , , , , , ,1531.245, , , , , , , 
5/31/1995,,879.509, , , , , ,15510.624, , , , , , ,1547.517, , , , , , , 
6/30/1995,,928.291, , , , , ,14849.776, , , , , , ,1495.625, , , , , , , 
7/31/1995,,925.086, , , , , ,14827.619, , , , , , ,1491.379, , , , , , , 
8/31/1995,,941.964, , , , , ,15025.032, , , , , , ,1489.816, , , , , , , 
9/30/1995,,972.445, , , , , ,15112.527, , , , ,219.586, ,1541.45, , , , , , , 
10/31/1995,,1026.355, , , , , ,14644.127, , , , ,226.836, ,1482.653, , , , , , , 
11/30/1995,,2725.648, , , , , ,15285.347, , , , ,225.017, ,1551.942, , , , , , , 
12/31/1995,,2770.296, , , , , ,16510.235, , , , ,220.739, ,1649.413, , , , , , , 
1/31/1996,,3146.827, , , , , ,17653.338, , , , ,253.451, ,1765.819, , , , , , , 
2/29/1996,,3162.904, , , , , ,17193.451, , , , ,248.072, ,1676.306, , , , , , , 
3/31/1996,,3152.591, , , , , ,16844.547, , , , ,250.659, ,1737.231, , , , , , , 
4/30/1996,,3254.618, , , , , ,17904.384, , , , ,248.738, ,1810.632, , , , , , , 
5/31/1996,,3259.356, , , , , ,17573.228, , , , ,253.836, ,1734.344, , , , , , , 
6/30/1996,,3211.487, , , , , ,17840.818, , , , ,252.388, ,1770.465, , , , , , , 
7/31/1996,,3237.78, , , , , ,17348.705, , , , ,255.18, ,1796.704, , , , , , , 
8/31/1996,,3460.919, , , , , ,17872.447, , , , ,259.023, ,1846.152, , , , , , , 
9/30/1996,,3603.75, , , , , ,18996.84, , , , ,266.798, ,1963.51, , , , , , , 
10/31/1996,,3816.972, , , , , ,20054.579, , , , ,270.743, ,1992.758, , , , , , , 
11/30/1996,,4046.627, , , , , ,20987.737, , , , ,282.603, ,1965.065, , , , , , , 
12/31/1996,,4033.917, , , , , ,21018.194, , , , ,273.291, ,2012.227, , , , , , , 
1/31/1997,,4075.171, , , , , ,23890.684, , , , ,289.187, ,2154.39, , , , , , , 
2/28/1997,,4234.978, , , , , ,22881.256, , , , ,303.404, ,2175.351, , , , , , , 
3/31/1997,,3855.237, , , , , ,21795.014, , , , ,288.546, ,2136.564, , , , , , , 
4/30/1997,,3846.888, , , , , ,22789.259, , , , ,283.423, ,2195.334, , , , , , , 
5/31/1997,,3946.66, , , , , ,23123.194, , , , ,302.571, ,2173.671, , , , , , , 
6/30/1997,,3926.64, , , , , ,23585.857, , , , ,301.38, ,2231.891, , , , , , , 
7/31/1997,,4209.401, , ,307.186, , ,24779.017, , , , ,328.957, ,2291.915, , , , , , , 
8/31/1997,,4214.104, , ,297.695, , ,24959.717, , , , ,323.321, ,2272.358, , , , , , , 
9/30/1997,,4201.693, , ,301.801, , ,27059.485, , , , ,350.372, ,2327.569, , , , , , , 
10/31/1997,,3831.516, , ,298.408, , ,24109.541, , , , ,313.394, ,1993.447, , , ,329.107, , , 
11/30/1997,,3828.271, , ,301.964, , ,25088.135, , , , ,313.522, ,2055.296, , , ,328.235, , , 
12/31/1997,,3793.892, , ,307.712, , ,25074.547, , , , ,325.908, ,2118.568, , , ,322.15, , , 
1/31/1998,,3954.077, , ,298.904, , ,25984.031, , , , ,323.987, ,2099.374, , , ,328.057, , , 
2/28/1998,,4017.122, , ,302.582, , ,26474.011, , , , ,325.78, ,2165.993, , , ,340.989, , , 
3/31/1998,,4016.593, , ,305.587, , ,26303.453, , , , ,340.702, ,2231.383, , , ,346.329, , , 
4/30/1998,,3962.968, ,3962.798,315.415, , ,27276.755, , , , ,341.022, ,2155.147, , ,649.106,345.029, , , 
5/31/1998,,3814.394, ,3808.684,309.68, , ,26373.224, , , , ,332.825, ,2122.477, , ,655.76,334.223, , , 
6/30/1998,,3867.466, ,3767.628,297.758, , ,25778.231, , , , ,318.992, ,2091.119, , ,660.087,324.481, , , 
7/31/1998,,3828.101, ,3896.125,308.98, , ,26700.594, , , , ,327.765, ,2140.567, , ,663.894,323.29, , , 
8/31/1998,,2678.52, ,3038.639,285.397, , ,19819.336, , , , ,255.782, ,1642.853, , ,666.354,214.395, , , 
9/30/1998,,2955.421, ,3620.083,285.774, , ,22975.435, , , , ,255.526, ,1884.43, , ,688.407,234.744, , , 
10/31/1998,,3129.382, ,3689.653,307.72, , ,24473.471, , , , ,257.127, ,1830.83, , ,678.161,245.937, , , 
11/30/1998,,3663.839, ,4000.917,310.338, , ,24901.481, , , , ,291.518, ,1986.711, , ,687.154,288.467, , , 
12/31/1998,,3365.117, ,4193.344,313.999, , ,25971.17, , , , ,256.826, ,1848.13, , ,692.015,289.404, , , 
1/31/1999,,3370.695, ,4369.608,303.462, , ,24520.816, , , , ,256.423, ,1795.898, , ,696.751,317.934, , , 
2/28/1999,,3422.659, ,4355.337,299.402, , ,25539.421, , , , ,263.147, ,1829.631, , ,687.447,327.376, , , 
3/31/1999,,3402.867, ,4405.251,295.937, , ,27802.717, , , , ,264.319, ,1917.26, , ,690.621,314.451, , , 
4/30/1999,,3510.725, ,4319.173,302.115, , ,29002.274, , , , ,291.723, ,1874.789, , ,1136.549,314.187, , , 
5/31/1999,,3070.088, ,4249.249,293.337, , ,26325.531, , , , ,285.626, ,1814.811, , ,1371.512,334.048, , , 
6/30/1999,,3209.536, ,4270.844,299.239, , ,26712.978, , , , ,279.881, ,1870.442, , ,1355.696,333.154,1023.196, , 
7/31/1999,,3057.498, ,4151.74,290.001, , ,25862.044, , , , ,277.243, ,1898.543, , ,1365.052,339.015,1000.09, , 
8/31/1999,,3110.265, ,4253.906,296.233, , ,26728.863, , , , ,293.156, ,1793.645, , ,1363.38,344.795,1025.932, , 
9/30/1999,,3084.14, ,4286.169,299.25, , ,27219.718, , , , ,304.221, ,1891.475, , ,1384.638,320.494,1038.116, , 
10/31/1999,,3125.622, ,4129.41,386.48, , ,27385.65, , , , ,323.632, ,1887.737, , ,1359.423,330.731,1056.894, , 
11/30/1999,,3244.808, ,4238.207,388.922, , ,26847.131, , , , ,341.341, ,1926.989, , ,1362.091,646.826,1043.666, , 
12/31/1999,,3141.069, ,4259.571,391.617, , ,28040.78, , , , ,329.631, ,1987.253,428.066, ,1360.587,664.565,1053.764, , 
1/31/2000,,3181.094, ,4243.625,378.816, , ,27408.837, , , , ,334.409, ,2000.087,408.468, ,1354.082,677.899,1043.029, , 
