, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, 
Date, GDCS, GDSK, GDTH, GDTN, GDVN, GDBO, GDBG, GDFJ, GDGE, GDIS, GDLV, GDLB, GDMZ, GDES, GDVE, 
12/31/1991,, , , , , , , , , , , , , ,11191.364, 
1/31/1992,, , , , , , , , , , , , , ,11203.376, 
2/29/1992,, , , , , , , , , , , , , ,10885.534, 
3/31/1992,, , , , , , , , , , , , , ,10027.155, 
4/30/1992,, , , , , , , , , , , , , ,10414.672, 
5/31/1992,, , , , , , , , , , , , , ,10248.571, 
6/30/1992,, , , , , , , , , , , , , ,10221.585, 
7/31/1992,, , , , , , , , , , , , , ,10481.524, 
8/31/1992,, , , , , , , , , , , , , ,10638.494, 
9/30/1992,, , , , , , , , , , , , , ,10081.341, 
10/31/1992,, , , , , , , , , , , , , ,9712.923, 
11/30/1992,, , , , , , , , , , , , , ,9014.699, 
12/31/1992,, , , , , , , , , , , , , ,9153.822, 
1/31/1993,, , , , , , , , , , , , , ,8888.059, 
2/28/1993,, , , , , , , , , , , , , ,8948.124, 
3/31/1993,, , , , , , , , , , , , , ,9652.801, 
4/30/1993,, , , , , , , , , , , , , ,9987.899, 
5/31/1993,, , , , , , , , , , , , , ,10571.746, 
6/30/1993,, , , , , , , , , , , , , ,10863.668, 
7/31/1993,, , , , , , , , , , , , , ,11423.845, 
8/31/1993,, , , , , , , , , , , , , ,10762.849, 
9/30/1993,, , , , , , , , , , , , , ,11028.421, 
10/31/1993,, , , , , , , , , , , , , ,12045.388, 
11/30/1993,, , , , , , , , , , , , , ,11187.372, 
12/31/1993,, , , , , , , , , , , , , ,11937.026, 
1/31/1994,, , , , , , , , , , , , , ,11701.29, 
2/28/1994,, , , , , , , , , , , , , ,10066.544, 
3/31/1994,, , , , , , , , , , , , , ,8406.002, 
4/30/1994,, , , , , , , , , , , , , ,8141.527, 
5/31/1994,, , , , , , , , , , , , , ,9050.595, 
6/30/1994,, , , , , , , , , , , , , ,7610.525, 
7/31/1994,, , , , , ,1385.443, , , , , , , ,7008.265, 
8/31/1994,, , , , , ,1687.98, , , , , , , ,8061.965, 
9/30/1994,, , , , , ,1801.468, , , , , , , ,8400.643, 
10/31/1994,, , , , , ,1792.451, , , , , , , ,7925.63, 
11/30/1994,, , , , , ,1749.731, , , , , , , ,7712.929, 
12/31/1994,, , , , , ,1720.448, , , , , , , ,7512.248, 
1/31/1995,, , , , , ,1476.272, , , , , , , ,7408.948, 
2/28/1995,, , , , , ,1504.945, , , , , , , ,7491.625, 
3/31/1995,, , , , , ,1417.094, , , , , , , ,7199.615, 
4/30/1995,, , , , , ,1641.729, , , , , , , ,7627.981, 
5/31/1995,, , , , , ,1759.728, , , , , , , ,8151.697, 
6/30/1995,, , , , , ,1833.027, , , , , , , ,8135.411, 
7/31/1995,, , , , , ,1685.049, , , , ,392.507, , ,8225.072, 
8/31/1995,, , , , , ,1778.375, , , , ,389.751, , ,8344.738, 
9/30/1995,, , , , , ,1836.809, , , , ,387.793, , ,8482.95, 
10/31/1995,, , , , , ,1854.281, , , , ,392.632, , ,8243.501, 
11/30/1995,, , , , , ,1880.717, , , , ,397.876, , ,8166.276, 
12/31/1995,, , , , , ,2011.746, , , , ,409.918, , ,9120.279, 
1/31/1996,, , , , , ,2153.245, , , , ,419.96, , ,9863.505, 
2/29/1996,, , , , , ,1930.888, , , , ,429.501, , ,9116.248, 
3/31/1996,, , , , , ,1860.849, , , , ,426.442, , ,9709.913, 
4/30/1996,, , , , , ,1886.056, , , , ,424.882, , ,10097.844, 
5/31/1996,, , , , , ,1980.624, , , , ,438.126, , ,10686.633, 
