, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, 
Date, GDPL, GDAZ, GDEC, GDGA, GDHN, GDCI, GDSN, GDTT, GDZM, GDAM, GDHR, GDIQ, GDSI, GDDZ, GDAW, GDBB, GDBZ, GDGR, GDLT, GDNA, GDRW, 
10/31/1994,3979.544, , , , , , , , , , , , , , , , , , , , , 
11/30/1994,3892.861, , , , , , , , , , , , , , , , , , , , , 
12/31/1994,3844.417, , , , , , , , , , , , , , , , , , , , , 
1/31/1995,3656.413, , , , , , , , , , , , , , , , , , , , , 
2/28/1995,3602.427, ,1826.165, , , , , , , , , , , , , , , , , , , 
3/31/1995,3542.812, ,1737.277, , , , , , , , , , , , , , , , , , , 
4/30/1995,3810.281, ,2043.38, , , , , , , , , , , , , , , , , , , 
5/31/1995,4102.031, ,2227.065, , , , , , , , , , , , , , , , , , , 
6/30/1995,4533.865, ,2200.037, , , , , , , , , , , , , , , , , , , 
7/31/1995,4455.375, ,2216.825, , , , , , , , , , , , , , , , , , , 
8/31/1995,4599.304, ,2154.373, , , , , , , , , , , , , , , , , , , 
9/30/1995,4765.298, ,2169.017, , , , , , , , , , , , , , , , , , , 
10/31/1995,4619.866, ,2219.213, , , , , , , , , , , , , , , , , , , 
11/30/1995,4648.103, ,2218.846, , , , , , , , , , , , , , , , , , , 
12/31/1995,4728.739, ,2327.356, , , , , , , , , , , , , , , , , , , 
1/31/1996,5525.207, ,2744.138, , , , , , , , , , , , , , , , , , , 
2/29/1996,5374.678, ,2476.146, , , , , , , , , , , , , , , , , , , 
3/31/1996,5488.287, ,2478.673, , , , , , , , , , , , , , , , , , , 
4/30/1996,5529.819, ,2638.78, , , , , , , , , , , , , , , , , , , 
5/31/1996,5474.113, ,2612.362, , , , , , , , , , , , , , , , , , , 
6/30/1996,5598.877, ,2699.422, , , , , , , , , , , , , , , , , , , 
7/31/1996,5684.074, ,2771.135, , , , , , , ,1351.718, , , , , , , , , , , 
8/31/1996,5801.102, ,2711.076, , , , , , , ,1345.835, , , , , , , , , , , 
9/30/1996,5814.661, ,2988.556, , , , , , , ,1364.962, , ,420.628, , , , , , , , 
10/31/1996,5811.397, ,3261.287, , , , , , , ,1400.384, , ,438.79, , , , , , , , 
11/30/1996,6070.47, ,3494.383, , , , , , , ,1426.535, , ,447.749, , , , , , , , 
12/31/1996,6019.947, ,3512.838, , , , , , , ,1465.612, , ,485.886, , , ,526.801, , , , 
1/31/1997,6067.706, ,3616.857, , , , , , , ,1173.441, , ,511.476, , , ,529.648, , , , 
2/28/1997,6048.361, ,3473.729, , , , , , , ,1166.766, , ,493.435, , , ,531.49, , , , 
3/31/1997,5932.239, ,3198.899, , , , , , , ,1446.076, , ,490.123, , , ,530.332, , , , 
4/30/1997,4194.838, ,3672.344, , , , , , , ,1468.865, , ,488.927, , , ,538.79, , , , 
5/31/1997,4312.409, ,3868.299, , , , , , , ,1486.209, , ,523.956, , , ,518.923, , , , 
6/30/1997,4392.565, ,3955.236, , , , , , , ,1497.883, , ,546.701, , , ,523.695, , , , 
7/31/1997,4833.526, ,4424.879, , , , , , , ,1441.619, , ,568.211, , , ,531.873, , , , 
8/31/1997,4726.54, ,4264.941, , , , , , , ,1429.675, , ,557.577, , , ,532.51, , , , 
9/30/1997,4866.318, ,4473.698, , , , , , , ,1437.839, , ,563.04, , , ,537.387, , , , 
10/31/1997,4568.931, ,3867.443, , , , , , , ,1314.064, , ,525.591, , , ,542.675, , , , 
11/30/1997,4699.595, ,4001.041, , , , , , , ,1357.406, , ,535.864, , , ,520.188, , , , 
12/31/1997,4797.26, ,4232.902, , , , , , , ,1381.108, , ,530.082, , , ,524.776, , , , 
1/31/1998,5911.831, ,4071.232, , , , , , , ,1524.733, , ,943.194, , , ,530.768, , , , 
2/28/1998,5970.775, ,4117.278, , , , , , , ,1570.845, , ,930.269, , , ,532.03, , , , 
3/31/1998,6025.838, ,4150.431, , ,485.295, , , , ,1587.019, , ,978.267, , , ,541.042, , , , 
4/30/1998,6004.994, ,4130.31, , ,483.494, , , , ,1602.973, , ,1003.462, , , ,1830.941, , , , 
5/31/1998,6036.716, ,3993.266, , ,477.232, , , , ,1593.08, , ,990.527, , , ,2351.121, , , , 
6/30/1998,6046.942, ,3906.324, , ,430.197, , , , ,1593.926, , ,998.609, , , ,2373.933, , , , 
7/31/1998,6099.812, ,4016.533, , ,443.894, , , , ,1562.218, , ,990.257, , , ,2400.495, , , , 
8/31/1998,5571.708, ,2421.211, , ,272.285, , , , ,1409.242, , ,682.395, , , ,2383.059, , , , 
9/30/1998,5984.065, ,2637.945, , ,333.445, , , , ,1270.814, , ,595.184, , , ,2426.109, , , , 
10/31/1998,6023.154, ,3050.023, , ,354.35, , , , ,1423.607, , ,623.899, , , ,2416.612, , , , 
11/30/1998,6119.728, ,3435.28, , ,420.924, , , , ,1491.416, , ,658.657, , , ,1912.298, , , , 
12/31/1998,8162.667, ,3039.139, , ,311.082, , , , ,1433.195, , ,615.975, , , ,1919.685, , , , 
1/31/1999,8101.407, ,2691.337, , ,354.636, , , , ,1468.683, , ,602.592, , , ,1934.885, , , , 
2/28/1999,8056.267, ,2320.048, , ,333.902, , , , ,1479.635, , ,542.385, , , ,1810.568, , , , 
3/31/1999,8146.263, ,2577.599, , ,344.273, , , , ,1438.862, , ,572.554, , , ,1832.246, , , , 
4/30/1999,7987.52, ,2947.218, , ,317.31, , , , ,1409.108, , ,655.577, , , ,1834.151, , , , 
5/31/1999,7873.832, ,2704.468, , ,319.385, , , , ,1436.187, , ,728.924, , , ,1803.331, , , , 
6/30/1999,7800.647, ,2562.768, , ,340.127, , , , ,1446.463, , ,775.542, , , ,1793.142, , , , 
7/31/1999,6813.041, ,2387.378, , ,331.83, , , , ,1383.304, , ,876.821, , , ,1776.585, , , , 
8/31/1999,4924.416, ,1865.769, , ,306.424, , , , ,1379.13, , ,824.56, , , ,1777.697, , , , 
9/30/1999,4256.324, ,1606.773, , ,249.65, , , , ,1394.365, , ,916.012, , , ,1739.281, , , , 
10/31/1999,4188.809, ,1764.723, , ,309.552, , , , ,1448.5, , ,911.256, , , ,1736.881, , , , 
11/30/1999,4208.094, ,1973.684, , ,276.529, , , , ,1513.952, , ,951.892, , , ,1733.133, , , , 
12/31/1999,4221.686, ,1920.703, , ,231.115, , , , ,1573.271, , ,969.753, , , ,1724.3, , , , 
1/31/2000,4198.602, ,1792.316, , ,247.652, , , , ,1576.855, , ,1032.28, , , ,1712.001, , , , 
