,GDAM Index,GDAO Index,GDAR Index,GDAW Index,GDAZ Index,GDBB Index,GDBG Index,GDBH Index,GDBO Index,GDBR Index,GDBS Index,GDBY Index,GDBZ Index,GDCI Index,GDCL Index,GDCN Index,GDCO Index,GDCR Index,GDCS Index,GDDO Index,GDDZ Index,GDEC Index,GDEG Index,GDES Index,GDFJ Index,GDGA Index,GDGE Index,GDGH Index,GDGR Index,GDGT Index,GDHN Index,GDHR Index,GDHU Index,GDID Index,GDIL Index,GDIQ Index,GDIS Index,GDJM Index,GDJO Index,GDKE Index,GDKR Index,GDKZ Index,GDLB Index,GDLK Index,GDLT Index,GDLV Index,GDMA Index,GDMN Index,GDMX Index,GDMY Index,GDMZ Index,GDNA Index,GDNG Index,GDPA Index,GDPE Index,GDPH Index,GDPK Index,GDPL Index,GDPY Index,GDQA Index,GDRO Index,GDRU Index,GDRW Index,GDSI Index,GDSK Index,GDSN Index,GDSV Index,GDTH Index,GDTN Index,GDTR Index,GDTT Index,GDUA Index,GDUY Index,GDVE Index,GDVN Index,GDZA Index,GDZM Index
1/21/2021,163.204,195.381,0,149.244,155.702,174.079,991.029,111.091,0.025,2294.547,202.727,132.829,118.327,53.341,360.804,263.393,782.973,336.843,98.45,648.652,243.319,137.576,416.432,120.186,144.904,296.675,238.24,351.892,198.237,426.837,194.917,170.923,441.773,663.098,464.982,379.014,147.935,850.405,459.277,170.627,454.772,226.936,135.13,184.9,198.136,151.592,447.215,174.57,1246.341,396.627,95.465,175.839,1143.518,899.156,1016.371,1895.181,424.328,803.58,180.015,553.39,198.145,850.356,184.992,159.776,0,238.407,354.88,189.122,194.33,752.595,276.924,994.632,715.27,808.79,304.258,628.196,94.55
1/20/2021,163.575,193.663,0,149.226,155.787,174.079,991.029,111.091,0.025,2295.156,202.576,132.785,117.659,53.341,361.457,263.393,782.483,332.769,98.6,646.474,243.319,139.946,416.189,120.186,144.904,296.283,238.24,349.936,198.237,427.273,195.414,170.923,441.835,662.295,465.291,377.842,147.935,848.575,459.277,170.06,454.849,226.936,135.13,181.71,198.133,151.592,447.215,174.53,1247.727,397.474,95.465,175.654,1143.518,902.703,1017.753,1892.657,423.232,803.758,178.822,552.536,198.263,852.793,184.926,159.793,0,237.719,352.114,189.122,194.33,748.765,276.661,988.44,716.069,808.79,304.23,627.745,95.347
1/19/2021,163.561,192.873,0,149.387,155.79,174.079,991.029,111.091,0.02,2296.802,202.446,132.582,121.67,53.341,361.507,263.393,782.501,330.078,98.709,645.844,243.319,144.406,415.914,120.186,144.904,296.46,238.24,348.321,198.237,426.867,194.978,170.923,441.814,661.445,465.237,376.86,147.935,846.447,459.277,169.795,454.168,226.936,135.13,180.386,198.157,151.592,447.215,174.308,1246.362,397.595,95.465,175.63,1143.518,905.945,1016.948,1885.273,422.979,803.714,178.929,552.207,198.044,852.009,184.698,159.782,0,237.476,352.26,189.122,194.33,748.168,276.815,987.88,715.23,808.79,304.218,626.061,95.493
1/18/2021,164.01,192.074,0,149.369,156.003,174.079,991.029,111.091,0.02,2298.911,202.646,132.766,121.67,53.341,362.148,263.393,782.668,329.37,98.909,645.677,243.319,147.188,416.343,120.186,144.904,297.271,238.24,347.996,198.237,427.013,194.861,170.923,441.794,660.147,465.302,376.855,147.935,849.624,459.277,169.874,453.912,226.936,135.13,181.307,198.133,151.592,447.215,174.314,1246.696,397.017,95.465,175.532,1143.518,905.326,1016.31,1876.098,422.806,803.603,179.09,552.72,197.918,851.86,184.715,159.797,0,238.295,357.369,189.122,194.33,747.435,276.953,988.693,714.724,808.79,304.175,624.216,95.834
1/15/2021,163.942,191.932,0,149.314,155.952,174.079,991.029,111.091,0.015,2298.039,202.528,132.697,121.67,53.341,362.062,263.393,782.394,329.196,98.892,645.39,243.319,147.176,416.118,120.186,144.904,297.115,238.24,347.775,198.237,426.848,194.77,170.923,441.621,659.937,465.18,376.656,147.935,849.231,459.277,169.781,453.807,226.936,135.13,181.154,198.033,151.592,447.215,174.234,1246.277,396.919,95.465,175.462,1143.518,905.031,1015.99,1875.46,422.572,803.361,179.029,552.556,197.847,851.541,184.62,159.736,0,238.18,357.128,189.122,194.33,747.072,276.859,988.122,714.487,808.79,304.067,623.95,95.76
1/14/2021,163.13,194.04,0,149.118,155.889,174.079,991.029,111.091,0.015,2306.46,202.887,132.372,121.67,53.341,361.733,263.393,783.863,331.938,99.123,649.072,243.319,150.015,417.661,120.186,144.904,299.42,238.24,351.195,198.237,427.774,194.834,170.923,441.647,660.029,464.815,377.822,147.935,849.416,459.277,170.424,452.303,226.936,135.13,175.516,198.077,151.592,447.215,174.088,1248.142,394.863,95.465,175.312,1143.518,904.602,1012.397,1873.076,422.9,803.266,179.448,552.7,198.123,851.975,184.588,159.743,0,239.552,360.414,189.122,194.33,752.161,277.585,992.869,714.237,808.79,304.016,626.951,96.302
1/13/2021,162.094,192.48,0,149.099,155.778,174.079,991.029,111.091,0.02,2314.194,202.43,132.153,121.67,53.341,362.168,263.393,783.542,330.544,99.116,653.844,243.319,151.066,415.853,120.186,144.904,299.433,238.24,351.388,198.237,428.721,194.619,170.923,441.3,657.983,463.918,377.964,147.935,845.56,459.277,170.069,453.548,226.936,135.13,172.42,198.042,151.592,447.215,174.061,1250.176,397.006,95.465,175.104,1143.518,905.175,1015.698,1867.159,423.03,803.352,179.577,550.686,197.612,848.965,184.678,159.73,0,239.437,361.782,189.122,194.33,752.092,277.78,989.284,713.717,808.79,303.293,624.812,96.293
1/12/2021,161.663,190.238,0,149.259,155.555,174.079,991.029,111.091,0.02,2304.182,202.797,132.037,121.67,53.341,357.764,263.393,780.714,331.547,99.201,650.668,243.319,150.421,415.956,120.186,144.904,299.968,238.24,351.329,198.237,429.351,195.019,170.923,441.051,656.832,461.827,377.642,147.935,844.407,459.277,169.994,451.814,226.936,135.13,171.846,198.038,151.592,447.215,173.944,1242.27,394.629,95.465,175.401,1143.518,896.196,1004.765,1865.02,422.626,803.117,179.165,547.925,197.022,845.844,184.646,159.724,0,239.574,363.637,189.122,194.33,747.672,277.687,982.656,707.612,808.79,303.266,624.546,96.388
1/11/2021,162.019,190.491,0,149.063,156.056,174.079,991.029,111.091,0.02,2308.354,203.402,132.547,121.67,53.341,360.821,263.393,786.251,334.567,99.732,659.602,243.319,151.952,419.98,120.186,144.904,302.212,238.24,355.344,198.237,431.732,195.73,170.923,441.607,658.444,464.672,379.882,147.935,855.496,459.277,171.709,452.748,226.936,135.13,172.786,198.094,151.592,447.215,173.801,1252.152,395.452,95.465,175.684,1143.518,906.272,1014.591,1872.739,422.496,803.59,180.545,550.348,197.948,850.364,184.641,159.704,0,242.482,365.213,189.122,194.33,753.554,277.903,994.31,714.863,808.79,303.237,628.736,96.639
1/8/2021,161.877,192.891,0,149.185,156.258,174.079,991.029,111.091,0.02,2318.622,202.774,132.567,121.67,53.341,363.328,263.393,790.23,333.695,99.876,662.93,243.319,152.646,421.802,120.186,144.904,303.08,238.24,359.648,198.237,432.712,196.437,170.923,441.5,657.881,465.187,380.998,147.935,856.049,459.277,172.789,452.056,226.936,135.13,169.248,198.014,151.592,447.215,173.645,1259.779,396.516,95.465,175.805,1143.518,910.657,1022.682,1870.158,421.264,803.726,180.804,551.825,198.277,849.577,184.519,159.557,0,243.615,366.762,189.122,194.33,757.756,277.778,998.57,717.815,808.79,303.13,629.428,96.991
1/7/2021,161.589,191.121,0,148.812,156.067,174.079,991.029,111.091,0.02,2322.917,203.112,132.626,121.67,53.341,362.591,263.393,790.283,331.982,100.01,663.474,243.319,152.125,420.791,120.186,144.904,301.701,238.24,358.278,198.237,433.006,196.303,170.923,441.519,660.04,464.542,380.517,147.935,855.775,459.277,172.117,453.253,226.936,135.13,168.423,197.987,151.592,447.215,173.745,1260.797,396.925,95.465,175.495,1143.518,912.547,1022.678,1877.642,420.424,803.674,180.809,550.503,198.437,848.76,184.507,159.539,0,242.741,366.008,189.122,194.33,758.225,277.82,998.482,718.222,808.79,303.063,625.092,96.812
1/6/2021,161.471,189.049,0,148.793,156.263,174.079,991.029,111.091,0.02,2332.216,203.003,132.7,122.338,53.341,364.701,263.393,794.027,329.817,100.404,669.85,243.319,161.028,420.216,120.186,144.904,300.272,238.24,356.475,198.237,434.138,196.207,170.923,441.941,664.477,466.688,380.404,147.935,856.174,459.277,171.496,454.144,226.936,135.13,169.189,198.07,151.592,447.215,173.601,1263.649,396.946,95.465,175.412,1143.518,917.437,1027.08,1896.508,419.681,804.011,181.351,550.943,199.696,853.073,184.378,159.644,0,242.282,367.893,189.122,194.33,756.729,278.104,996.458,721.698,808.79,303.066,626.31,96.72
1/5/2021,161.451,189.917,0,148.775,156.512,174.079,991.029,111.091,0.015,2353.525,203.217,132.893,121.67,53.341,368.731,263.393,802.327,331.664,100.707,674.755,243.319,163.316,421.398,120.186,144.904,300.511,238.24,356.925,198.237,435.961,196.276,170.923,442.796,665.911,470.849,380.731,147.935,856.822,459.277,171.556,457.11,226.936,135.13,170.182,198.099,151.592,447.215,173.635,1275.347,401.254,95.465,175.369,1143.518,927.675,1039.856,1904.475,418.916,804.617,182.609,555.539,201.232,858.334,184.354,159.684,0,243.091,371.207,189.122,194.33,759.219,277.448,998.495,730.503,808.79,303.015,631.631,96.464
1/4/2021,161.132,191.69,0,148.579,156.711,174.079,991.029,111.091,0.015,2365.922,202.926,133.024,123.675,53.341,369.72,263.393,806.045,328.906,100.66,673.047,243.319,162.674,422.911,120.186,144.904,300.614,238.24,357.806,198.237,435.964,195.911,170.923,442.936,666.13,470.876,381.663,147.935,858.863,459.277,171.76,460.314,226.936,135.13,171.237,198.217,151.592,447.215,173.258,1281.526,401.649,95.465,175.343,1143.518,930.26,1041.197,1902.34,418.951,804.662,183.235,556.235,201.154,859.915,184.254,159.659,0,243.404,371.998,189.122,194.33,763.271,277.532,1001.614,732.969,808.79,302.323,641.078,95.886
1/1/2021,161.158,187.121,0,148.505,156.472,174.079,991.029,111.091,0.02,2368.013,203.223,132.464,121.67,53.341,370.313,263.393,807.416,328.89,100,671.619,243.319,164.15,420.484,120.186,144.904,297.805,238.24,354.979,198.237,436.414,196.767,170.923,442.609,664.168,472.231,381.281,147.935,858.398,459.277,170.736,460.093,226.936,135.13,169.878,198.1,151.592,447.215,173.036,1286.554,402.106,95.465,174.944,1143.518,930.337,1042.112,1895.374,417.75,804.79,183.015,558.247,200.605,860.26,183.673,159.728,0,241.992,372.355,189.122,194.33,760.975,277.639,996.759,735.458,808.79,302.18,638.544,95.334
12/31/2020,161.158,187.121,0,148.505,156.472,174.079,991.029,111.091,0.02,2368.013,203.223,132.464,121.67,53.341,370.313,263.393,807.416,328.89,100,671.619,243.319,164.15,420.484,120.186,144.904,297.805,238.24,354.979,198.237,436.414,196.767,170.923,442.609,664.168,472.231,381.281,147.935,858.398,459.277,170.736,460.093,226.936,135.13,169.878,198.1,151.592,447.215,173.036,1286.554,402.106,95.465,174.944,1143.518,930.337,1042.112,1895.374,417.75,804.79,183.015,558.247,200.605,860.26,183.673,159.728,0,241.992,372.355,189.122,194.33,760.975,277.639,996.759,735.458,808.79,302.18,638.544,95.334
12/30/2020,161.042,187.021,0,147.809,156.261,174.079,991.029,111.091,0.015,2362.297,202.332,132.502,121.67,53.341,369.845,263.393,806.184,330.58,289.405,674.446,243.319,162.654,420.07,120.186,144.904,297.004,238.24,354.488,198.237,437.275,196.539,170.923,442.468,664.063,471.995,381.166,147.935,857.694,459.277,170.371,458.332,226.936,135.13,170.062,198.115,151.592,447.215,173.156,1283.53,401.463,95.465,174.512,1143.518,928.826,1040.494,1895.218,417.697,804.217,182.612,558.243,200.557,859.72,183.431,159.674,0,241.608,373.903,189.122,194.33,760.653,278.055,995.763,733.747,808.79,302.105,637.644,94.513
